times_secs,[O2Hb],[HHb],[deltaHb],stimulus1
808.04,-0.0027811939091514476,0.003870253358294715,-0.006651447267446161,LSL RunningTrial 0_A1_CI_NSI_R180x
808.08,-0.003002340893437163,0.003870503866866143,-0.006872844760303305,LSL RunningTrial 0_A1_CI_NSI_R180x
808.12,-0.0033090279648657337,0.0038537562811518577,-0.007162784246017591,LSL RunningTrial 0_A1_CI_NSI_R180x
808.16,-0.00370782915058002,0.0038175146811518573,-0.007525343831731877,LSL RunningTrial 0_A1_CI_NSI_R180x
808.2,-0.0042036519934371625,0.003759526766866143,-0.007963178760303304,LSL RunningTrial 0_A1_CI_NSI_R180x
808.24,-0.004799440279151448,0.0036778766097232862,-0.008477316888874735,LSL RunningTrial 0_A1_CI_NSI_R180x
808.28,-0.005495951279151448,0.003571070324009,-0.009067021603160447,LSL RunningTrial 0_A1_CI_NSI_R180x
808.32,-0.006291567136294305,0.003438115066866143,-0.009729682203160448,LSL RunningTrial 0_A1_CI_NSI_R180x
808.36,-0.0071821689934371625,0.0032785848525804288,-0.01046075384601759,LSL RunningTrial 0_A1_CI_NSI_R180x
808.4,-0.008161073136294305,0.0030926746811518577,-0.011253747817446163,LSL RunningTrial 0_A1_CI_NSI_R180x
808.44,-0.009219044993437162,0.0028812333811518574,-0.01210027837458902,LSL RunningTrial 0_A1_CI_NSI_R180x
808.48,-0.010344398279151448,0.002645782509723286,-0.012990180788874735,LSL RunningTrial 0_A1_CI_NSI_R180x
808.52,-0.011523138993437163,0.002388507409723286,-0.01391164640316045,LSL RunningTrial 0_A1_CI_NSI_R180x
808.56,-0.01273921442200859,0.002112230952580429,-0.01485144537458902,LSL RunningTrial 0_A1_CI_NSI_R180x
808.6,-0.013974805864865736,0.0018203618811518576,-0.01579516774601759,LSL RunningTrial 0_A1_CI_NSI_R180x
808.64,-0.015210698236294309,0.0015168215811518576,-0.016727519817446166,LSL RunningTrial 0_A1_CI_NSI_R180x
808.68,-0.016426695936294308,0.001205950552580429,-0.01763264648887473,LSL RunningTrial 0_A1_CI_NSI_R180x
808.72,-0.017602081764865735,0.0008923972811518574,-0.01849447904601759,LSL RunningTrial 0_A1_CI_NSI_R180x
808.76,-0.01871612236486573,0.0005809922868661434,-0.019297114651731877,LSL RunningTrial 0_A1_CI_NSI_R180x
808.8,-0.019748568564865735,0.00027661256115185776,-0.02002518112601759,LSL RunningTrial 0_A1_CI_NSI_R180x
808.84,-0.020680181564865736,-1.5959581705285108e-05,-0.020664221983160452,LSL RunningTrial 0_A1_CI_NSI_R180x
808.88,-0.021493258564865732,-0.00029217664741957097,-0.02120108191744616,LSL RunningTrial 0_A1_CI_NSI_R180x
808.92,-0.022172105422008596,-0.0005478611045624281,-0.02162424431744616,LSL RunningTrial 0_A1_CI_NSI_R180x
808.96,-0.02270349885058002,-0.0007793304902767136,-0.021924168360303305,LSL RunningTrial 0_A1_CI_NSI_R180x
809.0,-0.023077073707722877,-0.000983505147419571,-0.022093568560303305,LSL RunningTrial 0_A1_CI_NSI_R180x
809.04,-0.02328563756486574,-0.0011579979617052855,-0.022127639603160446,LSL RunningTrial 0_A1_CI_NSI_R180x
809.08,-0.023325425279151452,-0.0013011786045624282,-0.022024246674589017,LSL RunningTrial 0_A1_CI_NSI_R180x
809.12,-0.02319622642200859,-0.0014122137759909996,-0.02178401264601759,LSL RunningTrial 0_A1_CI_NSI_R180x
809.16,-0.022901421993437168,-0.0014910788331338567,-0.021410343160303304,LSL RunningTrial 0_A1_CI_NSI_R180x
809.2,-0.022447912136294306,-0.001538543747419571,-0.02090936838887474,LSL RunningTrial 0_A1_CI_NSI_R180x
809.24,-0.021845933850580018,-0.0015561305659909995,-0.020289803284589018,LSL RunningTrial 0_A1_CI_NSI_R180x
