participant_number,trial_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_trial,answer_incorrect_trial,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,trial_duration,trial_duration_mean,performance_trial,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
2,1,0,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,50,46.875,1,0,8,92.5,431.2835908,,0.215347616,45.052,18.27975,1.109828642,1,3,8,1
2,2,0,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,50,46.875,0,1,8,92.5,431.2835908,,0.215347616,11.15,18.27975,4.484304933,1,3,8,1
2,3,0,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,50,46.875,1,0,8,92.5,431.2835908,,0.215347616,33.854,18.27975,1.476930348,1,3,8,1
2,4,0,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,50,46.875,0,1,8,92.5,431.2835908,,0.215347616,28.178,18.27975,1.774433956,1,3,8,1
2,5,1,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,42.835,18.27975,1.750904634,1,3,8,1
2,6,1,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,31.193,18.27975,2.404385599,1,3,8,1
2,7,1,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,0,1,8,92.5,431.2835908,,0.215347616,12.033,18.27975,6.232859636,1,3,8,1
2,8,1,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,25.688,18.27975,2.919651199,1,3,8,1
2,9,2,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,1,0,8,92.5,431.2835908,,0.215347616,39.247,18.27975,0.636991362,1,3,8,1
2,10,2,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,31.576,18.27975,0.791740562,1,3,8,1
2,11,2,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,40.256,18.27975,0.621025437,1,3,8,1
2,12,2,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,31.655,18.27975,0.78976465,1,3,8,1
2,13,3,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,15.026,18.27975,1.663782777,1,3,8,1
2,14,3,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,1,0,8,92.5,431.2835908,,0.215347616,22.374,18.27975,1.117368374,1,3,8,1
2,15,3,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,23.823,18.27975,1.049406036,1,3,8,1
2,16,3,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,30.13,18.27975,0.829737803,1,3,8,1
2,17,4,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,28.632,18.27975,0.873148924,1,3,8,1
2,18,4,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,35.161,18.27975,0.711015045,1,3,8,1
2,19,4,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,0,1,8,92.5,431.2835908,,0.215347616,42.17,18.27975,0.592838511,1,3,8,1
2,20,4,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,25,46.875,1,0,8,92.5,431.2835908,,0.215347616,40.552,18.27975,0.616492405,1,3,8,1
2,21,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,0,1,8,92.5,431.2835908,,0.215347616,25.312,18.27975,2.963021492,1,3,8,1
2,22,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,34.152,18.27975,2.196064652,1,3,8,1
2,23,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,22.339,18.27975,3.357357088,1,3,8,1
2,24,5,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,47.718,18.27975,1.571733937,1,3,8,1
2,25,6,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,37.709,18.27975,1.988915113,1,3,8,1
2,26,6,0,0,Low,8,100,100,429.6627375,,0.232740685,9,90,100,468.9398778,,0.191922258,7,87.5,93.75,395.2481571,1204.88085,0.221379906,300.006,126.632,75,46.875,1,0,8,92.5,431.2835908,,0.215347616,18.525,18.27975,4.048582996,1,3,8,1
