Timestamp,ActivePhase,EndActivePhase,CurrentTrial,StimulusQuestion
0.0,Start,,99,
327.8929,,EndofStart,99,
327.8929,Calibration,,99,
332.2207,,EndofCalibration,99,
332.2207,Tutorial,,99,
692.7642,,EndofTutorial,99,
692.7642,Rest,,99,
992.7693,,EndofRest,99,
992.8091,Feedback,,99,
1006.571,Experimental,,99,
1031.309,Experimental,,0,_A1_CI_NSI_R180x
1045.485,Experimental,,1,_B1_CI_NSI_R0
1055.252,Experimental,,2,_A2_AC_SI_R180z
1069.208,Experimental,,3,_B2_AC_SI_R180x
1076.715,Feedback,,99,
1083.301,Experimental,,99,
1083.301,Experimental,,4,_A3_CI_NSI_R120z
1111.811,Experimental,,5,_B3_AC_SI_R180y
1132.834,Experimental,,6,_A4_AC_SI_R180x
1146.805,Experimental,,7,_B4_C_SI_R180y
1173.974,Feedback,,99,
1178.196,Experimental,,99,
1178.196,Experimental,,8,_A5_AC_SI_R180y
1202.481,Experimental,,9,_B5_C_SI_R120z
1226.348,Experimental,,10,_A6_AC_SI_R180z
1266.927,Experimental,,11,_B6_CI_NSI_R180x
1288.741,Feedback,,99,
1291.663,Experimental,,99,
1291.663,Experimental,,12,_A7_C_NSI_R180z
1307.331,Experimental,,13,_B7_AC_SI_R90z
1317.562,Experimental,,14,_A8_C_SI_R180y
1351.524,Experimental,,15,_B8_AC_SI_R60z
1359.626,Feedback,,99,
1365.102,Experimental,,99,
1365.102,Experimental,,16,_A9_C_NSI_R180y
1372.621,Experimental,,17,_B9_C_NSI_R90z
1385.627,Experimental,,18,_A10_C_SI_R180x
1399.93,Experimental,,19,_B10_C_NSI_R180x
1426.763,Feedback,,99,
1430.828,Experimental,,99,
1430.828,Experimental,,20,_A11_AC_SI_R180y
1443.088,Experimental,,21,_B11_CI_NSI_R120z
1466.146,Experimental,,22,_A12_C_NSI_R180x
1481.804,Experimental,,23,_B12_C_SI_R180x
1515.378,Feedback,,99,
1521.774,Experimental,,99,
1521.774,Experimental,,24,_A13_CI_NSI_R180x
1531.286,Experimental,,25,_B13_AC_SI_R180x
1546.854,Experimental,,26,_A14_AC_SI_R180x
1567.036,Experimental,,27,_B14_AC_SI_R180y
1583.602,Feedback,,99,
1586.766,Experimental,,99,
1586.766,Experimental,,28,_A15_C_SI_R120z
1599.566,Experimental,,29,_B15_CI_NSI_R180y
1610.289,Experimental,,30,_A16_CI_NSI_R0
1624.75,Experimental,,31,_B16_C_NSI_R180y
1644.119,Feedback,,99,
1648.542,,EndofExperiment,99,
