Timestamp, ActivePhase, EndActivePhase, CurrentTrial, StimulusQuestion
0,Start,,99,
679.9801,,EndofStart,99,
679.9801,Calibration,,99,
686.1078,,EndofCalibration,99,
686.1078,Tutorial,,99,
1106.289,,EndofTutorial,99,
1106.289,Rest,,99,
1406.295,,EndofRest,99,
1406.339,Feedback,,99,
1424.298,Experimental,,99,
1454.398,Experimental,,0,_A1_CI_NSI_R180x
1479.112,Experimental,,1,_B1_CI_NSI_R0
1498.831,Experimental,,2,_A2_AC_SI_R180z
1519.421,Experimental,,3,_B2_AC_SI_R180x
1528.255,Feedback,,99,
1532.771,Experimental,,99,
1532.771,Experimental,,4,_A3_CI_NSI_R120z
1544.1,Experimental,,5,_B3_AC_SI_R180y
1557.737,Experimental,,6,_A4_AC_SI_R180x
1572.153,Experimental,,7,_B4_C_SI_R180y
1583.097,Feedback,,99,
1588.334,Experimental,,99,
1588.334,Experimental,,8,_A5_AC_SI_R180y
1601.563,Experimental,,9,_B5_C_SI_R120z
1618.59,Experimental,,10,_A6_AC_SI_R180z
1632.792,Experimental,,11,_B6_CI_NSI_R180x
1646.013,Feedback,,99,
1650.329,Experimental,,99,
1650.329,Experimental,,12,_A7_C_NSI_R180z
1661.237,Experimental,,13,_B7_AC_SI_R90z
1671.389,Experimental,,14,_A8_C_SI_R180y
1703.762,Experimental,,15,_B8_AC_SI_R60z
1719.952,Feedback,,99,
1723.218,Experimental,,99,
1723.218,Experimental,,16,_A9_C_NSI_R180y
1731.839,Experimental,,17,_B9_C_NSI_R90z
1753.141,Experimental,,18,_A10_C_SI_R180x
1768.485,Experimental,,19,_B10_C_NSI_R180x
1785.788,Feedback,,99,
1789.235,Experimental,,99,
1789.235,Experimental,,20,_A11_AC_SI_R180y
1805.793,Experimental,,21,_B11_CI_NSI_R120z
1826.849,Experimental,,22,_A12_C_NSI_R180x
1842.534,Experimental,,23,_B12_C_SI_R180x
1867.143,Feedback,,99,
1870.151,Experimental,,99,
1870.151,Experimental,,24,_A13_CI_NSI_R180x
1901.683,Experimental,,25,_B13_AC_SI_R180x
1918.731,Experimental,,26,_A14_AC_SI_R180x
1953.916,Experimental,,27,_B14_AC_SI_R180y
1969.261,Feedback,,99,
1970.893,Experimental,,99,
1970.893,Experimental,,28,_A15_C_SI_R120z
1985.446,Experimental,,29,_B15_CI_NSI_R180y
2000.601,Experimental,,30,_A16_CI_NSI_R0
2023.284,Experimental,,31,_B16_C_NSI_R180y
2043.825,Feedback,,99,
2045.68,,EndofExperiment,99,
