TimeShown,TimeAnswered,TimeDiff,IsCorrect,CurrentTrial,StimulusQuestion,TimeoutCounter
1034.68,1066.839,32.15918,True,0,_A1_CI_NSI_R180x,0
1068.884,1095.691,26.80676,True,1,_B1_CI_NSI_R0,0
1097.726,1122.801,25.07434,True,2,_A2_AC_SI_R180z,0
1124.866,1132.352,7.485962,True,3,_B2_AC_SI_R180x,0
1148.934,1167.093,18.15918,True,4,_A3_CI_NSI_R120z,0
1169.501,1179.144,9.643433,True,5,_B3_AC_SI_R180y,0
1181.196,1191.449,10.25342,True,6,_A4_AC_SI_R180x,0
1193.484,1225.376,31.89246,True,7,_B4_C_SI_R180y,0
1231.618,1261.685,30.06677,True,8,_A5_AC_SI_R180y,0
1263.719,1293.079,29.35999,True,9,_B5_C_SI_R120z,0
1295.113,1325.102,29.98877,True,10,_A6_AC_SI_R180z,0
1327.203,1339.661,12.45837,True,11,_B6_CI_NSI_R180x,0
1344.865,1375.985,31.12,True,12,_A7_C_NSI_R180z,0
1378.05,1394.266,16.21606,True,13,_B7_AC_SI_R90z,0
1396.333,1421.598,25.26563,True,14,_A8_C_SI_R180y,0
1423.685,1447.152,23.46753,True,15,_B8_AC_SI_R60z,0
1461.8,1489.914,28.11389,True,16,_A9_C_NSI_R180y,0
1491.993,1537.911,45.91724,False,17,_B9_C_NSI_R90z,0
1539.959,1557.213,17.25427,True,18,_A10_C_SI_R180x,1
1559.305,1587.51,28.20508,True,19,_B10_C_NSI_R180x,1
1592.078,1611.202,19.12488,True,20,_A11_AC_SI_R180y,1
1613.353,1638.677,25.32373,True,21,_B11_CI_NSI_R120z,1
1641.023,1661.655,20.63135,True,22,_A12_C_NSI_R180x,1
1663.711,1691.196,27.4856,False,23,_B12_C_SI_R180x,1
1698.625,1718.799,20.17407,True,24,_A13_CI_NSI_R180x,1
1720.848,1742.566,21.71814,True,25,_B13_AC_SI_R180x,1
1744.672,1781.555,36.8822,False,26,_A14_AC_SI_R180x,1
1783.623,1800.237,16.6145,True,27,_B14_AC_SI_R180y,1
1804.981,1821.063,16.0813,True,28,_A15_C_SI_R120z,1
1823.137,1841.066,17.92969,True,29,_B15_CI_NSI_R180y,1
1843.128,1872.393,29.2644,True,30,_A16_CI_NSI_R0,1
1874.46,1905.943,31.48254,True,31,_B16_C_NSI_R180y,1
