TimeShown, TimeAnswered, TimeDiff, IsCorrect, CurrentTrial, StimulusQuestion, TimeoutCounter
1502.788,1545.45,42.66235,True,0,_A1_CI_NSI_R180x,0
1547.504,1572.556,25.05139,True,1,_B1_CI_NSI_R0,0
1574.603,1605.329,30.72583,True,2,_A2_AC_SI_R180z,0
1607.366,1625.989,18.62378,False,3,_B2_AC_SI_R180x,0
1635.407,1657.873,22.46558,True,4,_A3_CI_NSI_R120z,0
1659.951,1683.775,23.82336,True,5,_B3_AC_SI_R180y,0
1685.836,1706.265,20.42883,True,6,_A4_AC_SI_R180x,0
1708.307,1743.182,34.87439,False,7,_B4_C_SI_R180y,0
1749.535,1774.253,24.71765,True,8,_A5_AC_SI_R180y,0
1776.333,1793.676,17.34253,True,9,_B5_C_SI_R120z,0
1795.766,1811.523,15.75732,True,10,_A6_AC_SI_R180z,0
1813.593,1826.166,12.57227,True,11,_B6_CI_NSI_R180x,0
1832.496,1847.929,15.43311,False,12,_A7_C_NSI_R180z,0
1849.999,1866.443,16.44348,True,13,_B7_AC_SI_R90z,0
1868.499,1891.481,22.9823,True,14,_A8_C_SI_R180y,0
1893.563,1907.372,13.80957,True,15,_B8_AC_SI_R60z,0
1912.171,1931.204,19.03284,False,16,_A9_C_NSI_R180y,0
1933.257,1975.948,42.69092,False,17,_B9_C_NSI_R90z,0
1978.035,2005.438,27.40222,True,18,_A10_C_SI_R180x,0
2007.534,2042.687,35.15222,False,19,_B10_C_NSI_R180x,0
2048.852,2065.352,16.49927,True,20,_A11_AC_SI_R180y,0
2067.42,2087.821,20.40161,True,21,_B11_CI_NSI_R120z,0
2089.889,2109.378,19.48901,False,22,_A12_C_NSI_R180x,0
2111.457,2141.487,30.03027,False,23,_B12_C_SI_R180x,0
2147.235,2175.59,28.35449,True,24,_A13_CI_NSI_R180x,0
2177.67,2213.85,36.18018,True,25,_B13_AC_SI_R180x,0
2215.938,2239.62,23.68286,True,26,_A14_AC_SI_R180x,0
2241.709,2258.262,16.55298,True,27,_B14_AC_SI_R180y,0
2264.196,2295.507,31.31128,True,28,_A15_C_SI_R120z,0
2297.581,2312.44,14.85864,False,29,_B15_CI_NSI_R180y,0
2314.531,2335.42,20.88867,False,30,_A16_CI_NSI_R0,0
2337.498,2371.932,34.43384,False,31,_B16_C_NSI_R180y,0
