FeedbackNumber, FeedbackScore, TimeShown, TimeDifference, ActivePhase, StimulusQuestion
1,3,929.0564,6.392883,Tutorial,BaselineAquisition
2,4,957.2189,9.466064,Tutorial,FindX
3,7,1009.464,20.32458,Tutorial,McDonalds
4,2,1319.913,4.918579,Rest,Control
5,3,1435.483,2.97876,Experimental,Control
6,3,1490.205,2.425781,Experimental,Control
7,4,1563.555,1.716309,Experimental,Control
8,5,1615.403,2.082153,Experimental,Control
9,6,1723.217,3.5,Experimental,Control
10,6,1828.661,3.058594,Experimental,Control
11,6,1923.497,2.846436,Experimental,Control
12,6,2027.603,2.965332,Experimental,Control
