square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.001886700000000019,0.004754800000000614,0.004754800000000614,0.004754800000000614,1737.4267141999999,space,1737.4201936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1739.4454848999999,,,,,,,,,,1737.4267662,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1737.4407787999999,1738.424793,1738.4248098,1738.4409240999998,1739.4454848999999,1739.4251589,1739.4435601999999,1739.4454848999999,1739.4454848999999,1739.9243351999999,1739.9575793,1742.4242697,1742.4411172,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1742.4573888,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.4420456999999,1742.4573888,1742.4573888,1742.9244489,1742.9575702,1745.4242692,1745.441091,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1745.457414,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.4418604,1745.457414,1745.457414,1745.9242686999999,1745.9575969,1748.4241503,1748.4410498,space,1,0.9282573999998931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1748.4575055999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.4421261999998,1748.4575055999999,1748.4575055999999,1748.9241826999998,1748.9573407999999,1751.4243076999999,1751.4410689,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1751.4574046999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751.4419341,1751.4574046999999,1751.4574046999999,1751.9243169,1751.9575378,1754.4242096,1754.4407826,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1754.4574142,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754.4415288999999,1754.4574142,1754.4574142,1754.9239711,1754.9573785,1757.4237999,1757.4406887999999,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1757.4572787,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.441125,1757.4572787,1757.4572787,1757.923959,1757.9573596,1760.4239339,1760.4409938,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1760.4573199,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760.4417177999999,1760.4573199,1760.4573199,1760.9238985,1760.9571411,1763.4240379,1763.4408196,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1763.4572418,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.4415604,1763.4572418,1763.4572418,1763.9239043,1763.957244,1766.4239448,1766.4407339,space,1,0.6836809999999787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
9,"[0.2, -0.1]",None,0,9,9,9,,,,,,,,,1766.4573335,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.4416136,1766.4573335,1766.4573335,1766.923923,1766.9573204,1769.4238083,1769.4406491,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
8,"[-0.2, -0.1]",None,0,10,10,10,,,,,,,,,1769.4570472,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769.4414321,1769.4570472,1769.4570472,1769.9237732,1769.9571359,1772.4237593999999,1772.4406652999999,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
9,"[0.2, -0.1]",None,0,11,11,11,,,,,,,,,1772.4570489,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772.4413518,1772.4570489,1772.4570489,1772.9237431,1772.9569887999999,1775.4237182,1775.4403987,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
6,"[-0.3, 0]",None,0,12,12,12,,,,,,,,,1775.4568725,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.4408942,1775.4568725,1775.4568725,1775.9235985999999,1775.9569847,1778.4236799999999,1778.4402291,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
9,"[0.2, -0.1]",None,0,13,13,13,,,,,,,,,1778.456565,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778.4409976,1778.456565,1778.456565,1778.9403435,1778.9569460999999,1781.44027,1781.4404485999999,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback16,001,2023-12-11_16h21.30.750,untitled,2023.2.3,60.033414598564455,2023-12-11 16h21.40.403837 -0500,
