square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.001535900002636481,0.004110100002435502,0.004110100002435502,0.004110100002435502,20.54850450000231,space,20.528548199996294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,22.56760000000213,,,,,,,,,,20.548533100001805,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,20.56400620000204,21.547688700004073,21.54770229999849,21.56392230000347,22.56760000000213,22.548562600000878,22.56562439999834,22.56760000000213,22.56760000000213,23.047401299998455,23.080756800001836,25.547446900003706,25.56423630000063,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,25.580687800000305,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56540269999823,25.580687800000305,25.580687800000305,26.047141900002316,26.080706900000223,28.54738720000023,28.56419730000198,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,28.580616200000804,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.56506100000115,28.580616200000804,28.580616200000804,29.04736530000082,29.080572500002745,31.547359600001073,31.56421820000105,space,1,0.5387020999987726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,31.580507099999522,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5654183000006,31.580507099999522,31.580507099999522,32.04735079999955,32.08051340000384,34.54720439999801,34.564091300002474,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,34.58072450000327,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.564871599999606,34.58072450000327,34.58072450000327,35.04718059999868,35.080492900000536,37.54704440000205,37.56403220000357,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,37.58053040000232,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.56475240000145,37.58053040000232,37.58053040000232,38.0473439999987,38.08053640000435,40.54718420000427,40.56404250000196,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,40.58043550000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.564821500003745,40.58043550000002,40.58043550000002,41.047007699999085,41.080365400004666,43.54714790000435,43.56409520000307,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,43.580229600003804,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.56492250000156,43.580229600003804,43.580229600003804,44.047000300000946,44.0801019999999,46.54691509999975,46.56389080000372,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,46.58037950000289,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.56455460000143,46.58037950000289,46.58037950000289,47.04691830000229,47.0802210000038,49.546956899997895,49.56398590000026,space,1,0.3911069999958272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback24,001,2023-12-13_13h29.05.845,untitled,2023.2.3,60.00247210146506,2023-12-13 14h07.51.588987 -0500,
