square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,target_square_0.stopped,fixation_0.started,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
,,,,,,,,,,,,,,,,,0.0014374000020325,0.0038707999992766,0.0038707999992766,0.0038707999992766,35.73111680000147,space,35.72257659999741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,37.730307900004846,,,,,,,,,,35.731149500003085,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,35.746549600000435,36.71482649999962,36.71486410000216,36.73014160000457,37.730307900004846,37.71439630000532,37.72831190000579,37.730307900004846,37.730307900004846,38.229958100004296,38.229958100004296,40.72984580000048,40.72984580000048,40.714513999999326,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,40.72984580000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7155894000025,40.72984580000048,40.72984580000048,41.23006420000456,41.23006420000456,43.7299381000048,43.7299381000048,43.714133699999365,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,43.7299381000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.71478360000037,43.7299381000048,43.7299381000048,44.229930699999386,44.229930699999386,46.729787500000384,46.729787500000384,46.71418030000496,space,1.0,0.3881834999992861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,46.729787500000384,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.71512540000549,46.729787500000384,46.729787500000384,47.22987890000513,47.22987890000513,49.729864600005385,49.729864600005385,49.71401390000392,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,49.729864600005385,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.714657700002135,49.729864600005385,49.729864600005385,50.22995350000565,50.22995350000565,52.72986490000039,52.72986490000039,52.71417289999954,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,52.72986490000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.71495000000141,52.72986490000039,52.72986490000039,53.22977520000131,53.22977520000131,55.729560100000526,55.729560100000526,55.71353730000556,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,55.729560100000526,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.714120800003,55.729560100000526,55.729560100000526,56.229783400005545,56.229783400005545,58.72957500000484,58.72957500000484,58.71394870000222,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,58.72957500000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.714736200003244,58.72957500000484,58.72957500000484,59.22953550000239,59.22953550000239,61.72951090000424,61.72951090000424,61.71373680000397,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,61.72951090000424,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.71432350000396,61.72951090000424,61.72951090000424,62.22948490000272,62.22948490000272,64.72953690000577,64.72953690000577,64.713808600005,space,1.0,0.4375798000037321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
