square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
,,,,,,,,,,,,,,,,,0.001256799994735,0.0037828999920748,0.0037828999920748,0.0037828999920748,19.43780909999623,space,19.424208800017368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,21.453849300014557,,,,,,,,,,19.43783490001806,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,19.453190700005507,20.437037299998337,20.437052599998424,20.453358900005696,21.453849300014557,21.43767760001356,21.45193730000756,21.453849300014557,21.453849300014557,21.936756300012348,21.953272600017957,24.43666989999474,24.45311380000203,24.43744740000693,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,24.45311380000203,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.438297399989096,24.45311380000203,24.45311380000203,24.93666050001048,24.953289099998077,27.43663949999609,27.45311010000296,27.43754350001109,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,27.45311010000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.43955619999906,27.45311010000296,27.45311010000296,27.93645310000284,27.953129000001358,30.436462700017728,30.453109800000675,30.43722399999388,space,1.0,0.3650912000157404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,30.453109800000675,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.438257900008463,30.453109800000675,30.453109800000675,30.936724900006084,30.953137900010915,33.43650070001604,33.453040899999905,33.43719440000132,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,33.453040899999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.43784480000613,33.453040899999905,33.453040899999905,33.936433700000634,33.95316800000728,36.436511500010965,36.45307859999593,36.43747040000744,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,36.45307859999593,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.43830030001118,36.45307859999593,36.45307859999593,36.93639960000292,36.95293769999989,39.43634190000012,39.45313330000499,39.437361099990085,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,39.45313330000499,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.43813009999576,39.45313330000499,39.45313330000499,39.93637690000469,39.95310469999095,42.43632229999639,42.452970300015295,42.43713810000918,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,42.452970300015295,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.43788879999192,42.452970300015295,42.452970300015295,42.93633799999952,42.95313330000499,45.43619659999968,45.45283009999548,45.436880699999165,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,45.45283009999548,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.43751920000068,45.45283009999548,45.45283009999548,45.9362281000067,45.95306030000211,48.43620719999308,48.45297499999288,48.43714920000639,space,1.0,0.3919246000004932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback27,1.0,2023-12-14_16h05.24.918,untitled,2023.2.3,59.96084556985725,2023-12-14 16h49.04.632400 -0500,
