square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0014897999935783446,0.00398999999742955,0.00398999999742955,0.00398999999742955,405.13948279997567,space,405.11951560000307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,407.15812559999176,,,,,,,,,,405.13952090000384,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,405.1547910999798,406.1389627000026,406.1389861999778,406.15470319997985,407.15812559999176,407.1387832000037,407.1561598999833,407.15812559999176,407.15812559999176,407.6381218000024,407.67132329999004,410.13805359997787,410.15489539998816,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,410.17135609997786,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.15579009999055,410.17135609997786,410.17135609997786,410.6378508999769,410.6713591000007,413.13795529998606,413.15496659997734,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,413.1710891999828,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.155692899978,413.1710891999828,413.1710891999828,413.65457459999016,413.67133129999274,416.15476839998155,416.15496789998724,space,1,0.36072679999051616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,416.1712208999961,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.1561325999792,416.1712208999961,416.1712208999961,416.63806219998514,416.6711796000018,419.13786369998707,419.1547891999944,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,419.17122180000297,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.1555653999967,419.17122180000297,419.17122180000297,419.65472049999516,419.67120579999755,422.15442819998134,422.15457949999836,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,422.17122499999823,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.15503279998666,422.17122499999823,422.17122499999823,422.65450269999565,422.67117990000406,425.15444339998066,425.1545969999861,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,425.17113899998367,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.15520489998744,425.17113899998367,425.17113899998367,425.65452859998913,425.67123999999603,428.1543509999756,428.15450299999793,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,428.1709416999947,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.15508529997896,428.1709416999947,428.1709416999947,428.654501299985,428.67104999997537,431.1543757999898,431.15458259999286,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,431.17082499997923,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.155394899979,431.17082499997923,431.17082499997923,431.6543845999986,431.67091600000276,434.15425120000145,434.15441649997956,space,1,0.5026314999850001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
