square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 100
,,,,,,,,,,,,,,,,,0.1277374000055715,0.1310542999999597,0.1310542999999597,0.1310542999999597,17.18753029999789,space,17.046592700004112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,19.19081639999058,,,,,,,,,,17.187549700029194,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,17.203506599995308,18.17053240002133,18.170545400003903,18.186849499994423,19.19081639999058,19.17072559997905,19.188888099975884,19.19081639999058,19.19081639999058,19.67016390000936,19.70356729999185,22.170209200005047,22.18682740000077,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,22.203421899990644,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.18731880001724,22.203421899990644,22.203421899990644,22.670172600017395,22.70340050000232,25.1698722000001,25.186619899992365,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,25.203255800006445,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.18701890000375,25.203255800006445,25.203255800006445,25.66988320002565,25.703266500029716,28.170109800004862,28.18674390000524,space,1.0,0.5636187000200152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,28.203425500018056,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.187406499986537,28.203425500018056,28.203425500018056,28.67004850000376,28.70340759999817,31.17002969997702,31.18659190001199,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,31.203311200020835,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.18693159997929,31.203311200020835,31.203311200020835,31.6697431000066,31.70318730000872,34.169956300000194,34.18654820002848,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,34.20307569997385,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.186879399989266,34.20307569997385,34.20307569997385,34.669865100004245,34.703093499992974,37.16977279999992,37.18664119997993,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,37.20313989999704,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.187268699985,37.20313989999704,37.20313989999704,37.66974919999484,37.70305120002013,40.1697193,40.18652920000022,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,40.20305980002741,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.18708160001552,40.20305980002741,40.20305980002741,40.66977869998664,40.7029386999784,43.16966479999246,43.18636270001298,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,43.20304260001285,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.18671239999821,43.20304260001285,43.20304260001285,43.66964330000337,43.70308220002335,46.16958909999812,46.18644680001307,space,1.0,0.483746699988842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
