square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0015301999999337568,0.003980299999966519,0.003980299999966519,0.003980299999966519,1700.2195100999998,space,1700.2037968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1702.2385921999999,,,,,,,,,,1700.2195622,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1700.2345765,1701.2187209999997,1701.2187491999998,1701.2346481999998,1702.2385921999999,1702.2187061,1702.2366840999998,1702.2385921999999,1702.2385921999999,1702.7178321000001,1702.7516160999999,1705.2175506999997,1705.2343827999998,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1705.2514963999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705.2355229,1705.2514963999997,1705.2514963999997,1705.7348380999997,1705.7512969999998,1708.2341984,1708.2343152999997,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1708.2507535,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.2353266999999,1708.2507535,1708.2507535,1708.7175994,1708.751518,1711.2177109,1711.2347123,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1711.2510781,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.2355518999998,1711.2510781,1711.2510781,1711.7343179,1711.7511458999998,1714.2342562,1714.2343728,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1714.2508475,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.2347251,1714.2508475,1714.2508475,1714.7345544999998,1714.7507071999999,1717.2341972,1717.2343072999997,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1717.2512999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.2348072999998,1717.2512999,1717.2512999,1717.7174996999997,1717.7511405,1720.2176049999998,1720.2345809999997,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1720.2508850999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.2353788,1720.2508850999998,1720.2508850999998,1720.7344331999998,1720.7509756,1723.2341934,1723.2342921,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1723.2507627999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.2346370999999,1723.2507627999998,1723.2507627999998,1723.7340881999999,1723.7506593999997,1726.233996,1726.2340955,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1726.2507095,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.2345461999998,1726.2507095,1726.2507095,1726.7344610999999,1726.7505375,1729.2342657,1729.2343852999998,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback44,001,2024-01-08_14h21.11.616,untitled,2023.2.3,60.0454904635641,2024-01-08 14h39.05.878894 -0500,
