square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
,,,,,,,,,,,,,,,,,0.001560500008054,0.0040828000055626,0.0040828000055626,0.0040828000055626,2021.087983400008,space,2021.0763447000063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,2023.1075170000115,,,,,,,,,,2021.0880061000064,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2021.1038654000004,2022.086962100002,2022.086974300008,2022.1035375000065,2023.1075170000115,2023.0876473000096,2023.1056086000024,2023.1075170000115,2023.1075170000115,2023.586850000007,2023.620033600004,2026.0866291999992,2026.1034092000043,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,2026.1199919000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.1039001000024,2026.1199919000064,2026.1199919000064,2026.5867308000013,2026.6200690000117,2029.086541900004,2029.103195100004,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,2029.119885100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,2029.103540100012,2029.119885100008,2029.119885100008,2029.5864871000083,2029.6199036000037,2032.0865476000035,2032.1032226000095,space,1.0,0.5732626999961212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,2032.1198120000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2032.10373480001,2032.1198120000045,2032.1198120000045,2032.586421,2032.61978980001,2035.086332900013,2035.1033445000064,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,2035.119804800008,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035.1038387000008,2035.119804800008,2035.119804800008,2035.586530200002,2035.619846600006,2038.0864631000004,2038.1031315,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,2038.11970570001,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038.10359910001,2038.11970570001,2038.11970570001,2038.5864644000103,2038.619824600013,2041.086117400002,2041.1031340000045,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,2041.1196643000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.1035640000048,2041.1196643000003,2041.1196643000003,2041.5861461000025,2041.6197010000035,2044.0864727000007,2044.103205700012,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,2044.120207500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,2044.103547000006,2044.120207500004,2044.120207500004,2044.586443600012,2044.6198329000035,2047.0863420000096,2047.103271800006,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,2047.119454300002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047.104021900013,2047.119454300002,2047.119454300002,2047.586581200012,2047.619446200013,2050.0860817000066,2050.103459900012,space,1.0,0.4430034000106388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
