square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0013686999445781112,0.003709099953994155,0.003709099953994155,0.003709099953994155,3861.276153999963,space,3861.2562547000125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,3863.298754599993,,,,,,,,,,3861.2761884999927,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3861.291240200051,3862.275047400035,3862.275062300032,3862.2910969000077,3863.298754599993,3863.275098999962,3863.2966524000512,3863.298754599993,3863.298754599993,3863.7745444000466,3863.807831299957,3866.2744917999953,3866.2914240000537,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,3866.307895999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,3866.2924581000116,3866.307895999984,3866.307895999984,3866.7743188999593,3866.8077692999505,3869.2743698999984,3869.291223300039,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,3869.3078066000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,3869.2918629000196,3869.3078066000016,3869.3078066000016,3869.7742369000334,3869.8078625999624,3872.2744095999515,3872.291319699958,space,1,0.5292678999248892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,3872.3077572999755,,,,,,,,,,,,,,,,,,,,,,,,,,,,3872.292455399991,3872.3077572999755,3872.3077572999755,3872.774462500005,3872.807731000008,3875.2743058999768,3875.2911511999555,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,3875.3078637999715,,,,,,,,,,,,,,,,,,,,,,,,,,,,3875.291884099948,3875.3078637999715,3875.3078637999715,3875.7741243999917,3875.8076772999484,3878.2743212999776,3878.291134299943,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,3878.3076809999766,,,,,,,,,,,,,,,,,,,,,,,,,,,,3878.2918599999975,3878.3076809999766,3878.3076809999766,3878.774373800028,3878.8077274999814,3881.2742416999536,3881.2911426000064,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,3881.3076507999795,,,,,,,,,,,,,,,,,,,,,,,,,,,,3881.2918916000053,3881.3076507999795,3881.3076507999795,3881.7741768000415,3881.80758360005,3884.274382899981,3884.2912179999985,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,3884.3075006,,,,,,,,,,,,,,,,,,,,,,,,,,,,3884.2920559999766,3884.3075006,3884.3075006,3884.77417530003,3884.8075761999935,3887.274249900016,3887.291044399957,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,3887.3075450999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,3887.2918251999654,3887.3075450999895,3887.3075450999895,3887.790869600023,3887.8075220000464,3890.2907527999487,3890.29090719996,space,1,0.38894059997983277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
