square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,response_0.stopped,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0014558000257238746,0.004385500040370971,0.004385500040370971,0.004385500040370971,2002.0156830000342,space,2002.0027065000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,2004.0326170999906,,,,,,,,,,2002.01572570001,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2002.0306019000127,2003.014404800022,2003.014420600026,2003.0303965000203,2004.0326170999906,2004.014983400004,2004.030710800027,2004.0326170999906,2004.0326170999906,2004.5139041999937,2004.5471825000132,2007.0137708000257,2007.0307089000125,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,2007.0473320000456,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.0318086000043,2007.0473320000456,2007.0473320000456,2007.513904099993,2007.547188299999,2010.0137945000315,2010.0306819000398,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,2010.0471388000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0314818000188,2010.0471388000296,2010.0471388000296,2010.5137855000212,2010.5471726999967,2013.0137271000422,2013.0305795000168,space,1,0.5194111000164412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,2013.047203299997,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.031631699996,2013.047203299997,2013.047203299997,2013.5137275000452,2013.547016800032,2016.0138687000144,2016.0306821000413,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,2016.0469603000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0314571000054,2016.0469603000092,2016.0469603000092,2016.5136223000009,2016.5469247000292,2019.0138202999951,2019.0305690999958,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,2019.047014700016,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0314279000158,2019.047014700016,2019.047014700016,2019.513694800029,2019.5471117999987,2022.0137349000433,2022.0304306999897,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,2022.0470350999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0312556000426,2022.0470350999967,2022.0470350999967,2022.513559599989,2022.5469523000065,2025.0137178000296,2025.0304762999876,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,2025.0469308000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.031295599998,2025.0469308000174,2025.0469308000174,2025.5137004000135,2025.5469006000203,2028.0135618000058,2028.030443900032,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,2028.0469068000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028.031225200044,2028.0469068000093,2028.0469068000093,2028.513495000021,2028.5470188999898,2031.013537699997,2031.030383400037,space,1,0.4340434999903664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
