square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 102
,,,,,,,,,,,,,,,,,0.0014668000512756,0.0040198000497184,0.0040198000497184,0.0040198000497184,2115.6220662000123,space,2115.6030270000338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,2117.642441100033,,,,,,,,,,2115.622106200026,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2115.6373114000307,2116.6213068000507,2116.6213226000546,2116.6370933,2117.642441100033,2117.621428900049,2117.640499500034,2117.642441100033,2117.642441100033,2118.120764200052,2118.154048100056,2120.620655000035,2120.637472600036,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,2120.654031000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120.6384649000247,2120.654031000042,2120.654031000042,2121.1207474000403,2121.1540634999983,2123.62054730003,2123.63739410002,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,2123.653974500019,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123.6381658000173,2123.653974500019,2123.653974500019,2124.120451499999,2124.154566300044,2126.6204878000426,2126.637299400056,space,1.0,0.5027226000092924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,2126.654075700033,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126.6384194000275,2126.654075700033,2126.654075700033,2127.1206366000115,2127.1538761000265,2129.620545700018,2129.637328400044,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,2129.653938000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.63813690003,2129.653938000032,2129.653938000032,2130.1202689000056,2130.153794200043,2132.6203261000337,2132.6371561000124,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,2132.65383200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132.637918500055,2132.65383200004,2132.65383200004,2133.1203548000194,2133.153700500028,2135.620275699999,2135.6370541000506,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,2135.653666500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135.6376704000286,2135.653666500002,2135.653666500002,2136.120450200048,2136.153853800032,2138.6203880000394,2138.6371374000446,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,2138.653808700037,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138.637919100001,2138.653808700037,2138.653808700037,2139.1370752000366,2139.1537311000284,2141.6368614000385,2141.637069700053,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,2141.6537000000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.637841800053,2141.6537000000244,2141.6537000000244,2142.136843300017,2142.1536360000027,2144.636823000037,2144.6371440000366,space,1.0,0.4208631999790668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback56,1.0,2024-01-16_09h18.02.280,untitled,2023.2.3,59.983036800702514,2024-01-16 10h00.11.539102 -0500,
