square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.001617199999600416,0.004816000000573695,0.004816000000573695,0.004816000000573695,1451.4921885000003,space,1451.4852564000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1453.5093414000003,,,,,,,,,,1451.4922294000007,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1451.5073685999996,1452.4915665999997,1452.4915892000008,1452.5075562000002,1453.5093414000003,1453.4917134999996,1453.5075089000002,1453.5093414000003,1453.5093414000003,1453.9906623999996,1454.0239972,1456.4908004000008,1456.5076762000008,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1456.5241638999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.5087543000009,1456.5241638999996,1456.5241638999996,1456.9906843000008,1457.0240058,1459.4906437000009,1459.5075643,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1459.5239758000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.5084207,1459.5239758000007,1459.5239758000007,1459.9905044999996,1460.0240360000007,1462.4905799999997,1462.5075663999996,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1462.5239328999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.5083355000006,1462.5239328999996,1462.5239328999996,1462.9905918000004,1463.0239313000002,1465.4906707999999,1465.5075405999996,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1465.5238814000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465.5083058,1465.5238814000004,1465.5238814000004,1466.0073766999994,1466.0239922,1468.5072275999992,1468.5074186000002,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1468.5238857000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.5081692000003,1468.5238857000004,1468.5238857000004,1468.9904774000006,1469.0239466999992,1471.4903343000005,1471.5069820000008,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1471.5234922,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471.5073312000004,1471.5234922,1471.5234922,1472.0071403000002,1472.0237815,1474.5071430999997,1474.5073436999992,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1474.5238788000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.5081334999995,1474.5238788000006,1474.5238788000006,1475.0070023999997,1475.0237679000002,1477.5070739000003,1477.5072858000003,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1477.5235611999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477.5080013999996,1477.5235611999997,1477.5235611999997,1478.0070512000002,1478.0236722000009,1480.5069636000007,1480.5071783000003,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback59,001,2024-01-16_13h01.08.606,untitled,2023.2.3,59.988722119915295,2024-01-16 13h19.28.915536 -0500,
