square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0014391000149771571,0.0037932000122964382,0.0037932000122964382,0.0037932000122964382,1703.5594158000313,space,1703.545137600042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1705.5784700000077,,,,,,,,,,1703.5594593000133,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1703.574691100046,1704.5587421000237,1704.558768899995,1704.5747305999976,1705.5784700000077,1705.5588933000108,1705.5766071000253,1705.5784700000077,1705.5784700000077,1706.0580213000067,1706.091411900008,1708.5578661000472,1708.5749020000221,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1708.5912657000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.575360900024,1708.5912657000008,1708.5912657000008,1709.0579117000452,1709.0912480000407,1711.5580362000037,1711.5749404000235,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1711.5913623000379,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.575706200034,1711.5913623000379,1711.5913623000379,1712.0579128999962,1712.0911207000026,1714.5578925000154,1714.5748472000123,space,1,0.458719199988991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1714.5911042999942,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.5760368999909,1714.5911042999942,1714.5911042999942,1715.0579521000036,1715.0912031999906,1717.5578543000156,1717.574626000016,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1717.5912347999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717.5753199000028,1717.5912347999983,1717.5912347999983,1718.0577342000324,1718.0913238000358,1720.5579606000101,1720.5747121000313,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1720.5913160000346,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.5755380000337,1720.5913160000346,1720.5913160000346,1721.0579758000094,1721.0913351000054,1723.5577677999972,1723.5747207000386,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1723.5911366000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723.5755360000185,1723.5911366000073,1723.5911366000073,1724.0745355000254,1724.0910654000472,1726.5742699000402,1726.5744243999943,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1726.5909470000188,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.5749978999957,1726.5909470000188,1726.5909470000188,1727.0743883000105,1727.091060900013,1729.5744481000002,1729.5746246000053,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1729.591014000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.575324000034,1729.591014000005,1729.591014000005,1730.0741022000439,1730.0906930000056,1732.5742296000244,1732.574496300018,space,1,0.4348584999679588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback62,001,2024-01-19_15h27.04.947,untitled,2023.2.3,60.031144150132995,2024-01-19 15h49.54.572113 -0500,
