square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0013679999974556267,0.0038520999951288104,0.0038520999951288104,0.0038520999951288104,1935.668629700027,space,1935.6497188999783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1937.688500999997,,,,,,,,,,1935.668695100001,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1935.6833829000243,1936.6675628999947,1936.667594700004,1936.683219700004,1937.688500999997,1937.6675246999948,1937.6865392000182,1937.688500999997,1937.688500999997,1938.1832464000327,1938.1998502000351,1940.6832124000066,1940.6834022999974,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1940.699747400009,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940.6843611000222,1940.699747400009,1940.699747400009,1941.1833014999866,1941.1997497000266,1943.68313640001,1943.6833395999856,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1943.699836899992,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943.6841453000088,1943.699836899992,1943.699836899992,1944.1831120999996,1944.1996817000327,1946.683001300029,1946.683208500035,space,1,0.37177329999394715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1946.6996691999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.68430860003,1946.6996691999957,1946.6996691999957,1947.1829975,1947.199698899989,1949.6828088000184,1949.6829696000204,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1949.6997016000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.6835797000094,1949.6997016000096,1949.6997016000096,1950.18297850003,1950.1997069999925,1952.6829194999882,1952.6831303000217,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1952.6996093000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.68396200001,1952.6996093000052,1952.6996093000052,1953.1829727999866,1953.199644999986,1955.6828335000318,1955.6830278999987,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1955.6995005999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955.6837446000427,1955.6995005999925,1955.6995005999925,1956.1829517000006,1956.1998350000358,1958.682816400018,1958.6830047999974,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1958.6994970000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958.6837172000087,1958.6994970000233,1958.6994970000233,1959.1828180000302,1959.199545999989,1961.6827999000088,1961.6829954000423,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1961.699470499996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961.6837885000277,1961.699470499996,1961.699470499996,1962.182857100037,1962.1994231000426,1964.6827223,1964.682924200024,space,1,0.4135195999988355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback65,001,2024-01-22_10h56.39.604,untitled,2023.2.3,59.9115944545982,2024-01-22 10h56.50.396781 -0500,
