square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.001344099990092218,0.003775999997742474,0.003775999997742474,0.003775999997742474,1575.975120200077,space,1575.9671575000975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,1577.9923005000455,,,,,,,,,,1575.975203900016,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1575.989549000049,1576.973439100082,1576.9734564999817,1576.9896246000426,1577.9923005000455,1577.974261400057,1577.9903565000277,1577.9923005000455,1577.9923005000455,1578.4730574999703,1578.5060761000495,1580.97307800001,1580.9897217999678,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,1581.0062290000496,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.9907867000438,1581.0062290000496,1581.0062290000496,1581.4729573000222,1581.5062051999848,1583.972997099976,1583.9897371999687,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,1584.0060842999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.9904804000398,1584.0060842999956,1584.0060842999956,1584.4728467999958,1584.5062048999825,1586.9728411000688,1586.9898160999874,space,1,0.4874357000226155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,1587.0060153000522,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586.9909825000213,1587.0060153000522,1587.0060153000522,1587.4728012999985,1587.5061512000393,1589.9728136999765,1589.989739599987,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,1590.006167500047,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.9905624999665,1590.006167500047,1590.006167500047,1590.4728581999661,1590.5060416000197,1592.9728596999776,1592.9896245000418,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,1593.0061015000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.9904289999977,1593.0061015000101,1593.0061015000101,1593.4727113000117,1593.506088700029,1595.9726127000758,1595.9896315999795,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,1596.0057507000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.9904256999725,1596.0057507000165,1596.0057507000165,1596.4727911000373,1596.505858300021,1598.9727366999723,1598.9896340999985,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,1599.0059332000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.9904754000017,1599.0059332000092,1599.0059332000092,1599.4725594000192,1599.5058150000405,1601.9725801000604,1601.9895149000222,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,1602.0057892000768,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.990336799994,1602.0057892000768,1602.0057892000768,1602.472779700067,1602.5059488000115,1604.9725200000685,1604.989367900067,space,1,0.3254747000755742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback67,001,2024-01-22_17h04.19.015,untitled,2023.2.3,59.91044588103704,2024-01-22 17h10.45.205131 -0500,
