square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 100
,,,,,,,,,,,,,,,,,0.0015703000826761,0.0040127000538632,0.0040127000538632,0.0040127000538632,1769.9174955000635,space,1769.9074422999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,1771.9358901000817,,,,,,,,,,1769.9175389000447,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1769.932390000089,1770.9163841999834,1770.9164034000132,1770.9324244000018,1771.9358901000817,1771.9166418000823,1771.9340096000817,1771.9358901000817,1771.9358901000817,1772.415793800028,1772.4492137000198,1774.9158128000563,1774.9327471000142,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,1774.9492372000825,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.933818200021,1774.9492372000825,1774.9492372000825,1775.4158260000404,1775.4491831000196,1777.9156402000226,1777.93263559998,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,1777.9490547000896,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.933398900088,1777.9490547000896,1777.9490547000896,1778.41563589999,1778.4490693000844,1780.915892600082,1780.932496500085,space,1.0,0.4852903999853879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,1780.9488870999776,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780.9337284000358,1780.9488870999776,1780.9488870999776,1781.4156389000127,1781.448901200085,1783.9157464000164,1783.9324087999994,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,1783.9489321000874,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783.9332050000085,1783.9489321000874,1783.9489321000874,1784.4158859000308,1784.4489841000177,1786.9156681000022,1786.9324888000265,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,1786.9489130000584,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786.9332217000192,1786.9489130000584,1786.9489130000584,1787.415503700031,1787.4488139000025,1789.9155470000114,1789.9324265000178,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,1789.9488964000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789.933156199986,1789.9488964000484,1789.9488964000484,1790.4153245000634,1790.4487702000188,1792.9155520000495,1792.932405999978,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,1792.9489160000812,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.9331819000654,1792.9489160000812,1792.9489160000812,1793.4154313000618,1793.448630800005,1795.9155863000778,1795.9324793000706,space,0.0,0.3103113999823108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,1795.948725400027,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.9334707000526,1795.948725400027,1795.948725400027,1796.4153080000542,1796.4486946000252,1798.9153399000645,1798.9323980000336,space,1.0,0.4322898000245914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback68,1.0,2024-01-23_09h23.21.458,untitled,2023.2.3,59.92886446829918,2024-01-23 09h42.43.416623 -0500,
