square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
,,,,,,,,,,,,,,,,,0.0014909000601619,0.0039930001366883,0.0039930001366883,0.0039930001366883,1561.417180000106,space,1561.405157599831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
6.0,"[-0.3, 0]",None,0.0,0.0,0.0,0.0,,,,,,,,,1563.4314064001665,,,,,,,,,,1561.4172413002234,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1561.4316091001965,1562.4157021001447,1562.4157320000231,1562.4317118001636,1563.4314064001665,1563.4159363000654,1563.4289392000064,1563.4314064001665,1563.4314064001665,1563.9149790001102,1563.931836800184,1566.4149509000126,1566.4314000001175,1566.4159210000653,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
10.0,"[0, -0.2]",None,0.0,1.0,1.0,1.0,,,,,,,,,1566.4314000001175,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566.4170008001383,1566.4314000001175,1566.4314000001175,1566.91498160013,1566.9316660000477,1569.414924300043,1569.4315389001276,1569.4160303000826,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
11.0,"[-0.64, -0.4]",space,0.0,2.0,2.0,2.0,,,,,,,,,1569.4315389001276,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569.4168452001177,1569.4315389001276,1569.4315389001276,1569.9148497001734,1569.931608500192,1572.4149875000585,1572.43155580014,1572.415866000112,space,1.0,0.359126599971205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
12.0,"[0.64, -0.4]",None,0.0,3.0,3.0,3.0,,,,,,,,,1572.43155580014,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.4170931000262,1572.43155580014,1572.43155580014,1572.9146926000249,1572.9316281001084,1575.4148631000426,1575.4314541001804,1575.4159035000484,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
1.0,"[-0.64, 0.4]",None,0.0,4.0,4.0,4.0,,,,,,,,,1575.4314541001804,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.4166893002111,1575.4314541001804,1575.4314541001804,1575.931340500014,1575.931340500014,1578.431426800089,1578.431426800089,1578.41558310017,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
1.0,"[-0.64, 0.4]",None,0.0,5.0,5.0,5.0,,,,,,,,,1578.431426800089,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.4163252001165,1578.431426800089,1578.431426800089,1578.9314213001635,1578.9314213001635,1581.431111900136,1581.431111900136,1581.4152931000572,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
4.0,"[-0.2, 0.1]",None,0.0,6.0,6.0,6.0,,,,,,,,,1581.431111900136,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.415935400175,1581.431111900136,1581.431111900136,1581.931185600115,1581.931185600115,1584.4313093000092,1584.4313093000092,1584.4155198000371,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
5.0,"[0.2, 0.1]",None,0.0,7.0,7.0,7.0,,,,,,,,,1584.4313093000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584.416208300041,1584.4313093000092,1584.4313093000092,1584.9312515000347,1584.9312515000347,1587.4311278001403,1587.4311278001403,1587.4154223001096,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
11.0,"[-0.64, -0.4]",space,0.0,8.0,8.0,8.0,,,,,,,,,1587.4311278001403,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.4158039002214,1587.4311278001403,1587.4311278001403,1587.9311347000769,1587.9311347000769,1590.4312103001866,1590.4312103001866,1590.4155233001802,space,1.0,0.4011186000425368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
9.0,"[0.2, -0.1]",None,0.0,9.0,9.0,9.0,,,,,,,,,1590.4312103001866,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590.416452900041,1590.4312103001866,1590.4312103001866,1590.9313697000034,1590.9313697000034,1593.4310267001856,1593.4310267001856,1593.4155685000587,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
8.0,"[-0.2, -0.1]",None,0.0,10.0,10.0,10.0,,,,,,,,,1593.4310267001856,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.4163856001103,1593.4310267001856,1593.4310267001856,1593.93102680007,1593.93102680007,1596.4310617002193,1596.4310617002193,1596.415288600139,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
9.0,"[0.2, -0.1]",None,0.0,11.0,11.0,11.0,,,,,,,,,1596.4310617002193,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596.415965600172,1596.4310617002193,1596.4310617002193,1596.9311483001802,1596.9311483001802,1599.4311504000798,1599.4311504000798,1599.4154486001937,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
6.0,"[-0.3, 0]",None,0.0,12.0,12.0,12.0,,,,,,,,,1599.4311504000798,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.4161777000409,1599.4311504000798,1599.4311504000798,1599.9311846001074,1599.9311846001074,1602.4310370001476,1602.4310370001476,1602.4151563001797,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
9.0,"[0.2, -0.1]",None,0.0,13.0,13.0,13.0,,,,,,,,,1602.4310370001476,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.4159833001904,1602.4310370001476,1602.4310370001476,1602.9309819000773,1602.9309819000773,1605.431026400067,1605.431026400067,1605.415415500058,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
7.0,"[0.3, 0]",None,0.0,14.0,14.0,14.0,,,,,,,,,1605.431026400067,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605.41626060009,1605.431026400067,1605.431026400067,1605.9308552001603,1605.9308552001603,1608.430621800013,1608.430621800013,1608.4146958000492,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
2.0,"[0.64, 0.4]",None,0.0,15.0,15.0,15.0,,,,,,,,,1608.430621800013,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.41504230001,1608.430621800013,1608.430621800013,1608.9308336002289,1608.9308336002289,1611.4306996001396,1611.4306996001396,1611.4152710000053,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
2.0,"[0.64, 0.4]",None,0.0,16.0,16.0,16.0,,,,,,,,,1611.4306996001396,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.4160855000373,1611.4306996001396,1611.4306996001396,1611.9306139000691,1611.9306139000691,1614.430853100028,1614.430853100028,1614.4151575001888,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
11.0,"[-0.64, -0.4]",space,0.0,17.0,17.0,17.0,,,,,,,,,1614.430853100028,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.41592160007,1614.430853100028,1614.430853100028,1614.9307835001964,1614.9307835001964,1617.4307377000805,1617.4307377000805,1617.4150871001184,space,1.0,0.4156738999299705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
11.0,"[-0.64, -0.4]",space,0.0,18.0,18.0,18.0,,,,,,,,,1617.4307377000805,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617.4160084000323,1617.4307377000805,1617.4307377000805,1617.9307224000804,1617.9307224000804,1620.4306424001695,1620.4306424001695,1620.414744600188,space,1.0,0.510558299953118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback75,1.0,2024-01-30_12h16.59.453,untitled,2023.2.3,60.13807701205524,2024-01-30 12h49.58.197975 -0500,
