square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0012570999097079039,0.0035844999365508556,0.0035844999365508556,0.0035844999365508556,2007.7644179000054,space,2007.7526297001168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
6,"[-0.3, 0]",None,0,0,0,0,,,,,,,,,2009.7724001999013,,,,,,,,,,2007.7644450999796,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2007.7801332999952,2008.7472288999707,2008.7472395999357,2008.7634709000122,2009.7724001999013,2009.7473071999848,2009.770747100003,2009.7724001999013,2009.7724001999013,2010.246609200025,2010.280078199925,2012.7467696999665,2012.7636508999858,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
10,"[0, -0.2]",None,0,1,1,1,,,,,,,,,2012.7800165999215,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.7646164998878,2012.7800165999215,2012.7800165999215,2013.2467277999967,2013.2800439998973,2015.746679800097,2015.7635278000962,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
11,"[-0.64, -0.4]",space,0,2,2,2,,,,,,,,,2015.7799837999046,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.7642274999525,2015.7799837999046,2015.7799837999046,2016.2465977000538,2016.280063400045,2018.7467314999085,2018.763609000016,space,1,0.513464700197801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
12,"[0.64, -0.4]",None,0,3,3,3,,,,,,,,,2018.779930199962,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.7644499000162,2018.779930199962,2018.779930199962,2019.2464546998963,2019.2799529000185,2021.7464910999406,2021.7636064998806,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
1,"[-0.64, 0.4]",None,0,4,4,4,,,,,,,,,2021.7799889999442,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.7640809000004,2021.7799889999442,2021.7799889999442,2022.2466138999444,2022.2799742000643,2024.7465989999473,2024.7635095999576,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
1,"[-0.64, 0.4]",None,0,5,5,5,,,,,,,,,2024.7798399000894,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024.764225400053,2024.7798399000894,2024.7798399000894,2025.2465742998756,2025.2798810999375,2027.7463805999141,2027.763418900082,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
4,"[-0.2, 0.1]",None,0,6,6,6,,,,,,,,,2027.7798174999189,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.7641708999872,2027.7798174999189,2027.7798174999189,2028.2463978999294,2028.2798456999008,2030.7464680999983,2030.7632508000825,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
5,"[0.2, 0.1]",None,0,7,7,7,,,,,,,,,2030.7797028000932,,,,,,,,,,,,,,,,,,,,,,,,,,,,2030.7639347999357,2030.7797028000932,2030.7797028000932,2031.2465637000278,2031.2798862000927,2033.7465437999927,2033.7634195000865,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
11,"[-0.64, -0.4]",space,0,8,8,8,,,,,,,,,2033.7798452000134,,,,,,,,,,,,,,,,,,,,,,,,,,,,2033.7641616999172,2033.7798452000134,2033.7798452000134,2034.2463150999974,2034.2797657998744,2036.7463237999473,2036.7632480000611,space,1,0.44843579991720617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback79,001,2024-01-31_17h54.13.301,untitled,2023.2.3,59.96990710883875,2024-01-31 18h12.03.154800 -0500,
