participant_number,subexperiment_number,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
2,1,300.00599999999986,121.68100000000004,50.0,46.875,2,2,5,45.052000000000135,11.149999999999864,33.85400000000004,28.17800000000011,29.558500000000038,1.6915608031530673,1,3,8,1
2,2,300.00599999999986,109.62699999999995,75.0,46.875,3,1,4,42.835000000000036,31.192999999999984,12.032999999999902,25.688000000000102,27.937250000000006,2.684587781546143,1,3,8,1
2,3,300.00599999999986,140.31499999999983,25.0,46.875,1,3,7,39.246999999999844,31.576000000000022,40.256000000000085,31.654999999999973,35.68349999999998,0.7006039205795399,1,3,8,1
2,4,300.00599999999986,89.45800000000008,25.0,46.875,1,3,7,15.026000000000067,22.374000000000024,23.822999999999865,30.13000000000011,22.838250000000016,1.0946548006086272,1,3,8,1
2,5,300.00599999999986,144.34500000000003,25.0,46.875,1,3,7,28.631999999999834,35.16100000000006,42.17000000000007,40.552000000000135,36.628750000000025,0.6825239736545742,1,3,8,1
2,6,300.00599999999986,126.91899999999987,75.0,46.875,3,1,7,25.311999999999898,34.152000000000044,22.338999999999942,47.71799999999985,32.38024999999993,2.316226712270602,1,3,8,1
2,7,300.00599999999986,122.38200000000006,75.0,46.875,3,1,6,37.70900000000029,18.524999999999636,34.03500000000031,33.766999999999825,31.009000000000015,2.418652649230867,1,3,8,1
2,8,300.00599999999986,126.63200000000006,25.0,46.875,1,3,7,33.31800000000021,20.679999999999836,27.38700000000017,45.246999999999844,31.658000000000015,0.7896898098426934,1,3,8,1
3,1,300.0095,92.54500000000007,25.0,78.125,1,3,6,15.986999999999853,21.585000000000036,30.735000000000127,38.3119999999999,26.65474999999998,0.9379191326123869,4,1,7,1
3,2,300.0095,55.68599999999992,100.0,78.125,4,0,2,25.40000000000009,9.707999999999856,9.07100000000014,15.042999999999893,14.805499999999995,6.7542467326331455,4,1,7,1
3,3,300.0095,95.07400000000007,75.0,78.125,3,1,3,19.124000000000024,31.988000000000056,19.909999999999854,29.64500000000021,25.166750000000036,2.980122582375551,4,1,7,1
3,4,300.0095,93.19999999999982,100.0,78.125,4,0,2,34.677999999999884,10.586999999999989,33.5630000000001,16.843999999999824,23.91799999999995,4.18095158458066,4,1,7,1
3,5,300.0095,78.32200000000012,75.0,78.125,3,1,3,15.993000000000166,19.412000000000035,13.63299999999981,32.759000000000015,20.449250000000006,3.6676161717422393,4,1,7,1
