participant_number,subexperiment_number,duration_fixation,duration_saccade,count_fixations,count_saccades
2,1.0,357.03566368553123,22.80362815906877,243,435
2,2.0,371.51880108353066,23.2777678918771,230,364
2,3.0,351.55673800361734,23.839355706842753,302,602
2,4.0,316.22572147581616,23.966321853467804,216,376
2,5.0,318.5047698121398,24.96982841069429,350,546
2,6.0,346.86356450266237,25.989111534499994,284,449
2,7.0,290.9036839434174,23.480857795338075,298,591
2,8.0,274.1912451031275,24.686478200012385,320,617
3,1.0,200.52330296516772,73.37722618790107,348,710
3,2.0,194.6418128655758,23.27559629167513,233,487
3,3.0,215.39314588368148,-3283.802549521112,334,802
3,4.0,203.5721779935917,21.106193683842186,340,809
3,5.0,198.24748865063822,25.03757313407192,308,687
3,6.0,210.63997999609677,24.577261273116363,330,811
3,7.0,204.69723496041746,23.516007461208773,238,659
3,8.0,193.4837649481529,23.303691294869136,295,687
4,1.0,370.7114531509068,23.68817032368503,247,472
4,2.0,302.5819286517078,24.50411722961866,186,359
4,3.0,319.58445256167323,24.23201653137332,291,577
4,4.0,324.4072936472968,23.31704779681734,306,558
4,5.0,299.2760772637563,24.862506231689174,231,404
4,6.0,280.05402116842447,23.983884628022867,238,510
4,7.0,272.89901200397765,24.0120260944729,234,487
4,8.0,312.75545142140277,25.160492335250833,249,461
10,1.0,374.5997695107783,27.13059466314319,229,432
10,2.0,337.86884469696867,29.300485796003628,192,389
10,3.0,396.91477028939124,29.45446996925592,352,652
10,4.0,376.9698411016461,28.817805508354574,246,380
10,5.0,346.39197919549935,25.98444649828786,329,563
10,6.0,338.04070089076305,29.312108257085153,237,504
10,7.0,303.74247155945716,29.772946791570988,229,511
10,8.0,285.9141925231818,28.303444333862334,318,673
15,1.0,322.8071149997895,25.023721170491985,293,716
15,2.0,260.7930448476889,24.27461129767433,268,619
15,3.0,285.5386346477782,25.879155900302095,387,1041
15,4.0,291.8051565897961,26.38720291790762,284,705
15,5.0,284.7138165105032,25.329495909119203,341,960
15,6.0,263.10103812359284,24.905679269319712,280,815
15,7.0,283.6046459559194,25.799513268782498,282,878
15,8.0,277.8614147665926,25.472486320367608,284,795
16,1.0,356.28302983481996,25.941902444121446,186,326
16,2.0,339.20195135745917,26.24643038617886,124,216
16,3.0,309.6110540501218,26.344640353481473,172,264
16,4.0,359.0573164048306,25.161072494316027,165,237
16,5.0,384.0514013512297,26.075443110348772,183,293
16,6.0,320.3699054621946,25.22866096313233,140,273
16,7.0,306.17151219729277,25.323109368971203,142,204
16,8.0,276.337356321834,26.377512084865362,142,279
20,1.0,389.0205264901647,90.90238021873716,149,219
20,2.0,362.59174320857016,72.99994047619047,168,225
