participant_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,median_split_feedback_score_subexperiment,quartile_split_feedback_score_subexperiment,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1,tutorial_threshold,tutorial_split_feedback_score_subexperiment,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_average_peak,O2Hb_difference_peak,O2Hb_auc,O2Hb_highest_peak_trial_1,O2Hb_highest_peak_trial_2,O2Hb_highest_peak_trial_3,O2Hb_highest_peak_trial_4,O2Hb_lowest_peak_trial_1,O2Hb_lowest_peak_trial_2,O2Hb_lowest_peak_trial_3,O2Hb_lowest_peak_trial_4,O2Hb_average_peak_trial_1,O2Hb_average_peak_trial_2,O2Hb_average_peak_trial_3,O2Hb_average_peak_trial_4,O2Hb_difference_peak_trial_1,O2Hb_difference_peak_trial_2,O2Hb_difference_peak_trial_3,O2Hb_difference_peak_trial_4,O2Hb_auc_peak_trial_1,O2Hb_auc_peak_trial_2,O2Hb_auc_peak_trial_3,O2Hb_auc_peak_trial_4,duration_fixation,duration_saccade,count_fixations,count_saccades,tutorial_threshold,tutorial_split_feedback_score_subexperiment
2,1,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,121.68100000000004,50.0,46.875,2,2,5,0,0,45.052000000000135,11.149999999999864,33.85400000000004,28.17800000000011,29.55850000000004,1.6915608031530671,1,3,8,1,5.5,0,0.0167121555494199,-0.0233254252791514,-7.942690291719259e-05,0.0400375808285714,-0.0023290808098383,0.0167121555494199,0.0099972288494199,0.0110894541494199,0.0061868625065628,-0.0233254252791514,-0.0141014901220085,-0.0083174731362943,-0.0044945475077228,0.0,0.0,0.0,0.0,0.0400375808285714,0.0240987189714285,0.0194069272857142,0.0106814100142857,-0.0214383451978469,-0.0123232616386121,0.0208494535551564,0.0135524061372386,357.03566368553123,22.80362815906877,243,435,5.5,0
2,2,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,109.62699999999997,75.0,46.875,3,1,4,0,0,42.83500000000004,31.192999999999984,12.032999999999902,25.688000000000105,27.93725000000001,2.684587781546143,1,3,8,1,5.5,0,0.0565543910065628,-0.0124562635648657,0.0001941895104062,0.0690106545714285,0.0044242503398468,0.0565543910065628,0.0090496972922771,0.0064670774351342,0.0115571398637056,-0.0124562635648657,-0.0079045062791514,-0.00554742105058,-0.0078896193077228,0.0,0.0,0.0,0.0,0.0690106545714285,0.0169542035714285,0.0120144984857142,0.0194467591714285,0.0195227632814167,-0.017153243292846,-0.0131852558844454,-0.0016231127688875,371.51880108353066,23.2777678918771,230,364,5.5,0
2,3,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,140.31499999999983,25.0,46.875,1,3,7,1,1,39.24699999999984,31.576000000000025,40.256000000000085,31.654999999999973,35.68349999999998,0.7006039205795399,1,3,8,1,5.5,1,0.0595209414351342,-0.0154445668791514,6.059205472945506e-06,0.0749655083142857,0.0060156752623125,0.0190905800637056,0.0124734480065628,0.0167510368637056,0.0595209414351342,-0.0106525122648657,-0.0073512682648657,-0.0154445668791514,-0.0146326934220085,0.0,0.0,0.0,0.0,0.0297430923285714,0.0198247162714285,0.0321956037428571,0.0741536348571428,-0.0177339013158667,-0.0031675994699434,-0.0248835863216493,0.048046262506983,351.55673800361734,23.83935570684276,302,602,5.5,1
2,4,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,89.45800000000008,25.0,46.875,1,3,7,1,1,15.026000000000067,22.374000000000024,23.822999999999865,30.13000000000011,22.838250000000016,1.0946548006086272,1,3,8,1,5.5,1,0.0387067182922771,-0.0216095895077228,4.183414447095567e-05,0.0603163077999999,0.0064815138900608,0.0120713130065628,0.0186636862922771,0.0387067182922771,0.0320478792922771,-0.0081281115362943,-0.01054485545058,-0.0107724074220085,-0.0216095895077228,0.0,0.0,0.0,0.0,0.0201994245428571,0.0292085417428571,0.0494791257142857,0.0536574688,-0.0103141623100694,-0.0108145415509852,0.0022789772364677,-0.0214878545159065,316.22572147581616,23.966321853467804,216,376,5.5,1
2,5,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,144.34500000000003,25.0,46.875,1,3,7,1,1,28.631999999999834,35.16100000000006,42.17000000000007,40.552000000000135,36.628750000000025,0.6825239736545742,1,3,8,1,5.5,1,0.0369593218637056,-0.0348049879934371,-0.0001179140304649,0.0717643098571428,-0.0196281182580803,0.0314131908922771,0.0369593218637056,0.0297120718922771,0.0186315068637056,-0.0158521149934371,-0.0175341502791514,-0.0348049879934371,-0.0134769382791514,0.0,0.0,0.0,0.0,0.0472653058857142,0.0544934721428571,0.0645170598857143,0.0321084451428571,-0.0334838133606786,-0.026994954752873,-0.0047591705873924,-0.042434708896877,318.5047698121398,24.96982841069429,350,546,5.5,1
2,6,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,126.91899999999988,75.0,46.875,3,1,7,1,1,25.31199999999989,34.152000000000044,22.338999999999945,47.71799999999985,32.38024999999993,2.316226712270602,1,3,8,1,5.5,1,0.0224193857208485,-0.0275138381362943,-0.0001972420280578,0.0499332238571428,-0.0062864475713566,0.0200651057208485,0.0220838362922771,0.0224193857208485,0.0142977300779914,-0.0275138381362943,-0.0127993867648657,-0.0174262497077228,-0.0234416962791514,0.0,0.0,0.0,0.0,0.0475789438571428,0.0348832230571428,0.0398456354285714,0.0377394263571428,-0.020932381081272,-0.0096433467382457,-0.0080827572007378,-0.0244802407481357,346.8635645026624,25.9891115345,284,449,5.5,1
2,7,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,122.38200000000006,75.0,46.875,3,1,6,0,0,37.70900000000029,18.52499999999964,34.03500000000031,33.766999999999825,31.00900000000001,2.418652649230867,1,3,8,1,5.5,1,0.0220610005779914,-0.0571496461362943,-0.0003208918042982,0.0792106467142857,-0.0411583616931909,0.0220610005779914,0.0101091614637056,0.0155283326351342,0.0096417713494199,-0.0571496461362943,-0.0082797875934371,-0.0117136226934371,-0.0086662215934371,0.0,0.0,0.0,0.0,0.0792106467142857,0.0183889490571428,0.0272419553285714,0.0183079929428571,-0.0153857350110015,-0.0155042504578945,0.0051311568820286,-0.0386569724146453,290.9036839434174,23.480857795338075,298,591,5.5,1
2,8,0,0.0,Low,8,100.0,100.0,429.662737500621,,0.2327406853610512,9,90.0,100.0,468.9398778007469,,0.191922257544156,7,87.5,93.75,395.24815713853707,1204.8808499821462,0.2213799063187806,8.0,92.5,431.2835908133017,,0.2153476164079959,300.00599999999986,126.63200000000006,25.0,46.875,1,3,7,1,1,33.31800000000021,20.67999999999984,27.38700000000017,45.24699999999984,31.65800000000001,0.7896898098426934,1,3,8,1,5.5,1,0.0773503295779914,-0.0164592777077228,-0.0002745880679384,0.0938096072857142,-0.102774114340127,0.0112648778779914,0.0068159563922771,0.0773503295779914,0.0350490821494199,-0.0093907837491514,-0.00992159055058,-0.0085788534077228,-0.0118118474220085,0.0,0.0,0.0,0.0,0.0206556616271428,0.0167375469428571,0.0859291829857142,0.0468609295714285,-0.0411406674689641,-0.0152620250698745,0.0517942591628494,0.0050501302590167,274.1912451031275,24.686478200012385,320,617,5.5,1
3,1,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,92.54500000000009,25.0,78.125,1,3,6,1,1,15.986999999999853,21.58500000000004,30.735000000000127,38.3119999999999,26.65474999999998,0.9379191326123868,4,1,7,1,4.0,1,0.0498289352102689,-0.0288366379563977,0.0006062774951034,0.0786655731666666,0.0006790235634853,0.0420706630436022,0.0498289352102689,0.0327631970436022,0.0208848545436022,-0.0288366379563977,-0.0144983639563977,-0.0213324554563977,-0.0133094941230643,0.0,0.0,0.0,0.0,0.0709073009999999,0.0643272991666666,0.0540956525,0.0341943486666666,-0.0346913280111209,0.0415057362881301,-0.026370953082743,-0.0136317115302227,200.5233029651677,73.37722618790107,348,710,4.0,1
3,2,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,55.68599999999992,100.0,78.125,4,0,2,0,0,25.40000000000009,9.707999999999856,9.07100000000014,15.042999999999893,14.805499999999997,6.7542467326331455,4,1,7,1,4.0,0,0.0319598282102689,-0.028652835789731,-0.0004974089986589,0.060612664,0.0039950972453005,0.0319598282102689,0.0166236545436022,0.0133132298769356,0.0290782070102689,-0.022325239789731,-0.020893228789731,-0.022890562689731,-0.0286410674563977,0.0,0.0,0.0,0.0,0.054285068,0.0375168833333333,0.0362037925666666,0.0577192744666666,-0.013903677477809,0.0262266813686239,-0.0647172270470175,0.0481788047810612,194.6418128655758,23.27559629167513,233,487,4.0,0
