participant_number,tutorial_number,feedback_score_tutorial,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc,duration_fixation,duration_saccade,count_fixations,count_saccades
2,0,1,0.0003322810105119,0.0161626445779914,-0.0121423330934371,0.0283049776714285,0.0022669776240491,230.99999999999517,24.36842105263158,36,57
2,1,3,-0.0021051119177684,0.0115050777208485,-0.0116216261362943,0.0231267038571428,-0.021302539910943,1985.8,21.571428571428573,5,21
2,2,8,0.0022279104397136,0.0065173867208485,-0.00331041346058,0.0098278001814285,0.0222995790064627,1381.5714285714453,22.181818181818183,14,33
3,0,4,0.0014276064461076,0.0329253628769356,-0.0171176331230643,0.0500429959999999,0.025911234354525,660.5633802817689,19.35483870967742,71,155
3,1,1,-0.0015926617544827,0.0212051830436022,-0.017607479789731,0.0388126628333333,-0.0160523640800841,653.3333333333023,131.496062992126,15,127
3,2,7,0.0032389875586952,0.0151561748769356,-0.0084648886230643,0.0236210635,0.0323501463996895,1156.250000000029,19.860627177700348,16,287
4,0,5,0.0398727336360359,0.1109140132034992,-0.0631569015465008,0.17407091475,0.2183394258968944,241.15652173913347,24.233766233766232,115,154
4,1,1,0.0035236793821595,0.0619003982034991,-0.0593099592965008,0.1212103574999999,0.0362982182712398,693.7142857142442,22.36842105263158,14,19
4,2,7,-0.0112613217607388,0.0702322457034991,-0.1065260330465008,0.17675827875,-0.1117495185459583,698.3461538461672,24.75438596491228,26,57
10,0,1,0.0470837770951617,0.20522507125,-0.2049185725,0.41014364375,1.0578539087118433,326.42592592591404,25.627906976744185,108,172
10,1,1,0.0112280247490587,0.1254407395,-0.12927942125,0.25472016075,0.1131526529055466,427.3333333333555,29.151515151515152,21,33
10,2,7,0.0608660506360174,0.1462311025,-0.04178429875,0.18801540125,0.6121717290731137,458.70270270268384,33.391891891891895,37,74
15,0,2,-0.0019577870502922,0.0784284338045233,-0.1018396150526194,0.1802680488571428,-0.0603047416638127,319.3373493975945,22.16538461538461,83,260
15,1,1,-0.0007526234145409,0.0195655657616662,-0.025595941224048,0.0451615069857142,-0.0081436975027443,458.5500000000058,26.944444444444443,20,36
15,2,6,0.0017412685395319,0.0579171398045233,-0.0418803600526194,0.0997974998571428,0.0160729012987195,684.6071428571429,22.454545454545453,28,55
16,0,1,0.0256584479440793,0.0682143282623208,-0.0370564850710124,0.1052708133333333,0.1305523094787633,331.9818181818182,22.131386861313867,55,137
16,1,1,-0.0166349147544653,0.0541293849289875,-0.0566253024043458,0.1107546873333333,-0.1685418176919912,753.4166666666764,26.5,12,20
16,2,5,-0.0166673985011585,0.1280823022956541,-0.1024240347376791,0.2305063370333333,-0.1684291606854624,955.1000000000028,22.32258064516129,20,31
20,0,3,-0.0043255560774729,0.0402491197551572,-0.0450835931019856,0.0853327128571428,-0.0457248565669151,367.6617647058687,23.14516129032258,68,62
20,1,2,-0.0210894853733743,0.0281890028980143,-0.0899808312448427,0.1181698341428571,-0.2111412686474541,487.0000000000291,48.54545454545455,4,11
21,0,1,-0.0180985504552355,-0.006553007049807,-0.024069188049807,0.017516181,-0.1045445086983733,476.7291666666497,24.21311475409836,48,122
21,1,1,0.0050651890402925,0.0370594212376929,-0.043424566299807,0.0804839875375,0.0511530160640301,665.4285714285381,22.823529411764707,14,17
21,2,6,0.0017155946983762,0.0361525389501929,-0.021452660549807,0.0576051994999999,0.0176370013116891,985.6842105263096,22.133333333333333,19,30
22,0,1,-0.0205146186230981,0.0723673349352691,-0.0597678464933022,0.1321351814285714,-0.1734125295657234,648.6857142857359,22.78301886792453,70,106
22,1,2,0.0002399819036129,0.0760925463638406,-0.0748703293504451,0.1509628757142857,0.0049961449720053,1362.1428571428737,21.0,7,9
22,2,5,0.014001223493408,0.0916287535066977,-0.0805646164933022,0.17219337,0.1422838951618325,815.6086956521689,23.071428571428573,23,28
23,0,4,0.01658423158586,0.0753591177969072,-0.0609794509530927,0.13633856875,0.1522771966592413,284.9999999999897,22.192139737991265,102,229
23,1,2,-0.0037037785871415,0.0320276259219072,-0.0362281467030927,0.068255772625,-0.0380206057709023,1392.733333333345,21.742857142857144,15,35
23,2,6,-0.0017508477497794,0.0100461274219072,-0.0281070452030927,0.038153172625,-0.016965152216162,1156.2666666666744,21.93548387096774,15,31
24,0,3,0.0099090524890466,0.1571575786472977,-0.1085896059777022,0.265747184625,0.0954810464720248,245.51851851852717,22.602150537634408,54,93
24,1,1,-0.0162448765736962,0.0473343027722977,-0.1169857073527022,0.164320010125,-0.1621948328358024,484.4499999999971,21.791666666666668,20,24
24,2,6,0.0030133374689909,0.0825946140222977,-0.0813527572277022,0.16394737125,0.0297659308377774,573.9032258064366,22.568181818181817,31,44
25,0,1,-0.0945611963460663,0.5079345947487337,-1.067766781917933,1.5757013766666668,-1.227871457588804,252.7272727272692,24.94690265486725,33,113
25,1,1,0.0393412663444176,0.1832984364154003,-0.1669717835845996,0.3502702199999999,0.3943176643080024,2138.3846153846066,23.615384615384617,13,13
25,2,6,0.0657546396659315,0.2555861130820669,-0.2109917160845996,0.4665778291666666,0.6645243766060069,695.6153846153712,22.82608695652174,26,23
26,0,6,0.0128137913756137,0.0294811645,-0.0096932769999999,0.0391744415,0.1987079288311674,321.7352941176265,25.32608695652174,34,46
26,1,2,0.0172225022311354,0.0518478635,-0.0170017296666666,0.0688495931666666,0.1732191945006,372.4347826086805,23.46153846153846,23,26
26,2,8,0.0120029298976733,0.0299952383333333,-0.0042054074999999,0.0342006458333333,0.1205501922412733,351.41025641024146,40.4,39,50
27,0,3,-0.0293318095182196,0.1316103881720524,-0.1717316518279475,0.30334204,-0.1699140260040108,307.1428571428572,22.188235294117646,42,85
27,1,2,-0.0307604827174097,0.0588193069220524,-0.0869539018279475,0.14577320875,-0.3100124468346756,3946.636363636343,22.26315789473684,11,19
27,2,5,0.0091456489019976,0.3873161744220524,-0.1289908068279475,0.5163069812500001,0.0923609538491747,684.6296296296232,22.55,27,40
28,0,4,0.0076304924553417,0.1614260003224391,-0.1163456659275608,0.27777166625,0.0834118712651531,223.9591836734688,24.107954545454547,98,176
28,1,2,-0.0174121602369483,0.1012325065724391,-0.1550681196775608,0.25630062625,-0.1724560987143569,885.5454545454439,22.4375,11,16
28,2,6,0.0091359538126482,0.0993868015724391,-0.0491115934275608,0.148498395,0.0905283168060903,699.4230769230769,21.91891891891892,26,37
29,0,2,-0.0115767522102144,0.0429296202879698,-0.0730013230870301,0.115930943375,-0.0809233575369053,239.8085106383053,23.09090909090909,47,110
29,1,2,0.0012375524245037,0.0734939115379698,-0.0830870809620301,0.1565809925,0.0127489500304989,880.2727272727432,21.818181818181817,11,11
29,2,6,-0.012292863646038,0.0318304750379698,-0.0432965738370301,0.0751270488749999,-0.1233573631002412,875.3181818181871,22.11764705882353,22,34
30,0,4,0.0005425606993706,0.019705393709546,-0.0213575917904539,0.0410629854999999,0.0095822844023165,938.116279069766,22.299145299145295,43,117
30,1,2,0.0039391444612805,0.056886222334546,-0.0360554407904539,0.0929416631249999,0.0393576501423753,2054.461538461534,498.0810810810811,13,37
30,2,6,0.0021553331058906,0.041799458584546,-0.0456216251654539,0.0874210837499999,0.0217033099172611,805.5000000000053,24.634615384615383,22,52
31,0,3,-0.0074433094492303,0.0531040070261813,-0.1061668517238186,0.15927085875,-0.1743912322283531,550.4631578947357,24.90995260663507,95,211
31,1,4,0.0112597721666943,0.1052300382761813,-0.0772471142238186,0.1824771525,0.1138782528950671,545.5294117647196,22.157894736842103,17,19
31,2,8,-0.0197260174206562,0.1048886170261813,-0.1438990629738186,0.2487876799999999,-0.1983939784419314,1184.2,22.0,15,28
