S1-D1 [O2Hb],S1-D1 [HHb],S1-D1 [deltaHb],S2-D1 [O2Hb],S2-D1 [HHb],S2-D1 [deltaHb],S3-D1 [O2Hb],S3-D1 [HHb],S3-D1 [deltaHb],S4-D1 [O2Hb],S4-D1 [HHb],S4-D1 [deltaHb],S5-D2 [O2Hb],S5-D2 [HHb],S5-D2 [deltaHb],S6-D2 [O2Hb],S6-D2 [HHb],S6-D2 [deltaHb],S8-D2 [O2Hb],S8-D2 [HHb],S8-D2 [deltaHb],times_secs,stimulus1
-4.719141e-05,-7.712036e-05,2.9928950000000008e-05,-0.001867826,0.006488211,-0.008356037,0.0379523,0.001004292,0.036948008000000004,-0.03094493,0.002663417,-0.033608347,0.02110914,0.002643429,0.018465711,-0.04472328,0.007390656,-0.052113936,-0.001233707,0.007058237,-0.008291944,808.04,LSL RunningTrial 0_A1_CI_NSI_R180x
0.0003010907,-0.0001287118,0.00042980249999999997,-0.001693439,0.006569491,-0.00826293,0.03738593,0.001084519,0.036301411,-0.03212826,0.002531817,-0.034660077,0.02117953,0.002626151,0.018553379,-0.04506947,0.007424668,-0.052494138,-0.001278905,0.007064941,-0.008343846,808.08,LSL RunningTrial 0_A1_CI_NSI_R180x
0.0006438492,-0.0001816829,0.0008255321,-0.001958503,0.006589546,-0.008548049,0.03654858,0.001176083,0.035372496999999996,-0.03302027,0.002406759,-0.035427029,0.02087467,0.002625208,0.018249462,-0.04511874,0.007386208,-0.052504947999999996,-0.001419919,0.007053521,-0.00847344,808.12,LSL RunningTrial 0_A1_CI_NSI_R180x
0.0009703759,-0.0002342091,0.001204585,-0.002720648,0.006539048,-0.009259696000000001,0.03540801,0.001277791,0.034130218999999996,-0.03357082,0.002290766,-0.035861586,0.02014331,0.002640961,0.017502349,-0.04479876,0.007267597,-0.052066357,-0.001673409,0.007019997,-0.008693406,808.16,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001269631,-0.0002843885,0.0015540195,-0.004026156,0.006409796,-0.010435952,0.0339357,0.00138802,0.03254768,-0.03373532,0.00218612,-0.03592144,0.01894016,0.002673318,0.016266842,-0.0440419,0.007062461,-0.051104361,-0.002054816,0.006960709,-0.009015525,808.2,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001530685,-0.0003303136,0.0018609986,-0.005907869,0.006195087,-0.012102956,0.0321086,0.001504745,0.030603855,-0.0334768,0.002094756,-0.035571556000000004,0.01722818,0.002721763,0.014506416999999999,-0.04278841,0.006766031,-0.049554441,-0.002577605,0.006872416,-0.009450021,808.24,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001743175,-0.0003701446,0.0021133196,-0.008383397,0.005890038,-0.014273435000000001,0.02991078,0.001625578,0.028285202000000002,-0.03276792,0.002018171,-0.034786091,0.01498069,0.002785392,0.012195298,-0.0409896,0.006375424,-0.047365024,-0.003252524,0.006752382,-0.010004906000000001,808.28,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001897773,-0.0004021834,0.0022999564,-0.01145371,0.005491885,-0.016945595,0.02733495,0.001747835,0.025587115,-0.0315928,0.001957333,-0.033550132999999996,0.01218327,0.002862951,0.009320319,-0.03861069,0.00588987,-0.04450056,-0.0040869,0.006598463,-0.010685363,808.32,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001986625,-0.0004249439,0.0024115689,-0.01510214,0.005000227,-0.020102367,0.02438361,0.001868613,0.022514997,-0.0299485,0.001912612,-0.031861112,0.008835384,0.002952879,0.005882505,-0.03563329,0.005310883,-0.040944173,-0.005084009,0.006409172,-0.011493181,808.36,LSL RunningTrial 0_A1_CI_NSI_R180x
0.002003765,-0.0004372161,0.0024409810999999997,-0.01929398,0.004417203,-0.023711182999999997,0.02107001,0.001984881,0.019085129,-0.02784611,0.001883727,-0.029729837000000002,0.004951621,0.003053367,0.0018982539999999998,-0.03205739,0.004642366,-0.036699756,-0.006242565,0.006183743,-0.012426308,808.4,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001945466,-0.0004381232,0.0023835892000000003,-0.02397647,0.003747602,-0.027724072,0.01741869,0.00209358,0.015325110000000001,-0.02531149,0.001869716,-0.027181206,0.000562426,0.003162398,-0.002599972,-0.02790274,0.003890638,-0.031793378,-0.007556334,0.005922171,-0.013478505,808.44,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001810521,-0.0004271663,0.0022376873,-0.02907957,0.002998879,-0.032078449,0.01346554,0.002191729,0.011273811,-0.02238536,0.001868933,-0.024254293,-0.004285664,0.003277815,-0.007563479,-0.02320948,0.003064389,-0.026273869000000002,-0.009013912,0.005625247,-0.014639159,808.48,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001600436,-0.000404258,0.002004694,-0.03451713,0.002181086,-0.036698216,0.009257579,0.002276533,0.006981046,-0.0191229,0.00187907,-0.021001970000000002,-0.009530365,0.003397367,-0.012927732,-0.01803804,0.002174545,-0.020212585,-0.01059869,0.005294557,-0.015893247,808.52,LSL RunningTrial 0_A1_CI_NSI_R180x
0.001319526,-0.0003697402,0.0016892661999999999,-0.04018876,0.001306712,-0.041495472,0.004852136,0.002345485,0.002506651,-0.01559274,0.001897209,-0.017489949,-0.01509459,0.003518766,-0.018613356,-0.01246822,0.001234051,-0.013702271,-0.01228899,0.004932482,-0.017221472,808.56,LSL RunningTrial 0_A1_CI_NSI_R180x
0.000974891,-0.0003243878,0.0012992788,-0.04598217,0.0003904229,-0.0463725929,0.0003157319,0.002396459,-0.0020807271,-0.01187539,0.001919897,-0.013795287,-0.02088797,0.003639746,-0.024527715999999998,-0.006597421,0.0002575882,-0.0068550092,-0.01405845,0.004542156,-0.018600606,808.6,LSL RunningTrial 0_A1_CI_NSI_R180x
0.0005762951,-0.0002693947,0.0008456898,-0.05177607,-0.0005512834,-0.0512247866,-0.004277505,0.002427791,-0.0067052959999999995,-0.008061059,0.001943255,-0.010004314,-0.02680895,0.003758104,-0.030567054000000003,-0.0005381958,-0.0007387917,0.0002005958999999999,-0.01587654,0.004127419,-0.020003959,808.64,LSL RunningTrial 0_A1_CI_NSI_R180x
0.0001359194,-0.000206345,0.00034226440000000003,-0.05744341,-0.001500504,-0.055942906,-0.008847755,0.002438338,-0.011286093,-0.004247074,0.001963098,-0.006210172,-0.0327474,0.003871755,-0.036619155,0.005585001,-0.001738079,0.00732308,-0.01770929,0.003692739,-0.021402029,808.68,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.0003319849,-0.0001371679,-0.000194817,-0.06285498,-0.002438426,-0.060416554000000004,-0.01331171,0.002427524,-0.015739233999999998,-0.0005348045,0.001975083,-0.0025098875,-0.03858761,0.003978768,-0.042566378,0.01163959,-0.002722767,0.014362357,-0.01952021,0.003243115,-0.022763325,808.72,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.0008115406,-6.407886e-05,-0.00074746174,-0.06788319,-0.003345876,-0.064537314,-0.01758502,0.002395359,-0.019980379,0.002973667,0.001974865,0.000998802,-0.04421171,0.004077405,-0.048289115,0.01748912,-0.003675345,0.021164465,-0.02127132,0.002783965,-0.024055285,808.76,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.001285768,1.049206e-05,-0.00129626006,-0.07240598,-0.004203899,-0.068202081,-0.0215848,0.00234243,-0.02392723,0.006179041,0.00195826,0.004220781,-0.04950316,0.00416615,-0.05366931,0.0229978,-0.004578792,0.027576591999999997,-0.02292425,0.002320995,-0.025245245,808.8,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.001737171,8.398106e-05,-0.0018211520600000001,-0.07631055,-0.004994353,-0.071316197,-0.02523228,0.002269885,-0.027502165,0.008988333,0.001921406,0.007066926999999999,-0.05435041,0.004243732,-0.058594142,0.02803516,-0.005417074,0.033452234,-0.02444149,0.001860054,-0.026301544,808.84,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.002148357,0.0001537786,-0.0023021356,-0.07949705,-0.005700492,-0.073796558,-0.0284553,0.002179376,-0.030634676,0.01131826,0.001860924,0.009457336,-0.05865053,0.004309142,-0.062959672,0.03248059,-0.006175604,0.038656194,-0.02578756,0.001406987,-0.027194547,808.88,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.002502665,0.0002173204,-0.0027199854,-0.08188177,-0.006307513,-0.075574257,-0.03119072,0.002073002,-0.033263722,0.01309836,0.001774052,0.011324308,-0.06231249,0.004361643,-0.066674133,0.03622762,-0.006841666,0.043069286,-0.02693021,0.000967482,-0.027897691999999998,808.92,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.002784789,0.0002721788,-0.0030569678,-0.08339997,-0.006803046,-0.07659692400000001,-0.0333865,0.001953223,-0.035339722999999996,0.01427366,0.00165877,0.01261489,-0.06526023,0.004400775,-0.069661005,0.03918773,-0.00740478,0.04659251,-0.02784153,0.0005469139,-0.0283884439,808.96,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.002981343,0.0003161495,-0.0032974925,-0.08400808,-0.007177572,-0.07683050799999999,-0.03500354,0.001822775,-0.036826315,0.01480684,0.001513887,0.013292953,-0.06743517,0.004426352,-0.071861522,0.04129353,-0.007856985,0.049150515000000006,-0.02849889,0.0001502056,-0.0286490956,809.0,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.00308137,0.000347331,-0.003428701,-0.08368511,-0.007424736,-0.07626037399999999,-0.036017,0.001684566,-0.037701566,0.01467967,0.001339103,0.013340567000000001,-0.06879815,0.004438452,-0.073236602,0.04250114,-0.008193049,0.050694189,-0.02888578,-0.0002183046,-0.0286674754,809.04,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.003076754,0.0003641931,-0.0034409471000000002,-0.08243351,-0.00754156,-0.07489195,-0.03641722,0.001541583,-0.037958803,0.01389382,0.001135036,0.012758783999999999,-0.06933077,0.004437405,-0.073768175,0.04279171,-0.008410585,0.051202294999999995,-0.02899239,-0.0005549742,-0.0284374158,809.08,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.002962522,0.0003656318,-0.0033281537999999998,-0.08027904,-0.007528535,-0.072750505,-0.03621013,0.001396794,-0.037606924,0.0124708,0.0009032032,0.011567596800000001,-0.0690359,0.004423777,-0.073459677,0.04217204,-0.008510073,0.050682113,-0.02881597,-0.0008569463,-0.0279590237,809.12,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.002737031,0.0003510076,-0.0030880386,-0.0772699,-0.007389586,-0.069880314,-0.03541703,0.001253058,-0.036670088,0.01045123,0.0006459777,0.009805252300000001,-0.0679375,0.004398342,-0.072335842,0.04067413,-0.00849479,0.049168920000000005,-0.02836099,-0.001122213,-0.027238777,809.16,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.002402019,0.0003201666,-0.0027221856,-0.07347509,-0.007131929,-0.06634316100000001,-0.03407397,0.001113047,-0.035187017,0.007893337,0.0003665023,0.0075268347,-0.06607974,0.004362062,-0.070441802,0.03835391,-0.008370657,0.046724566999999995,-0.02763895,-0.00134965,-0.026289299999999998,809.2,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.001962527,0.000273443,-0.00223597,-0.06898206,-0.006765798,-0.062216261999999994,-0.03223057,0.0009791758,-0.0332097458,0.004870773,6.857637e-05,0.00480219663,-0.0635253,0.004316054,-0.067841354,0.03528905,-0.008145995,0.043435045000000005,-0.02666804,-0.001539022,-0.025129018,809.24,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.0014267,0.0002116436,-0.0016383436,-0.06389373,-0.006304091,-0.057589639,-0.02994831,0.0008535513,-0.0308018613,0.001469945,-0.0002434828,0.0017134278,-0.06035319,0.004261561,-0.064614751,0.03157599,-0.007831223,0.039407212999999996,-0.02547249,-0.001690958,-0.023781532,809.28,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.0008054683,0.0001360144,-0.0009414827,-0.05832497,-0.005761909,-0.052563060999999994,-0.02729855,0.0007379333,-0.0280364833,-0.002213147,-0.0005649969,-0.0016481501,-0.05665591,0.004199914,-0.060855823999999996,0.0273264,-0.007438488,0.034764888,-0.02408178,-0.0018069,-0.02227488,809.32,LSL RunningTrial 0_A1_CI_NSI_R180x
-0.0001121375,4.819232e-05,-0.00016032982,-0.0523989,-0.005156046,-0.047242854,-0.02436019,0.0006337111,-0.0249939011,-0.006076338,-0.0008910945,-0.0051852435,-0.0525363,0.0041325,-0.0566688,0.02266311,-0.006981262,0.029644372000000002,-0.0225296,-0.001889026,-0.020640574000000002,809.36,LSL RunningTrial 0_A1_CI_NSI_R180x
0.000638106,-4.985722e-05,0.0006879632200000001,-0.04624277,-0.004504428,-0.041738342000000005,-0.02121712,0.0005418964,-0.021759016399999997,-0.01001487,-0.001216882,-0.008797988,-0.04810407,0.004060726,-0.052164796,0.01771584,-0.006473903,0.024189743,-0.02085278,-0.001940148,-0.018912632000000002,809.4,LSL RunningTrial 0_A1_CI_NSI_R180x
0.00142874,-0.0001559123,0.0015846522999999999,-0.039984,-0.00382553,-0.03615847,-0.01795553,0.0004631277,-0.0184186577,-0.01392497,-0.00153761,-0.01238736,-0.04347219,0.00398598,-0.04745817,0.01261677,-0.005931217,0.018547987,-0.01909004,-0.001963603,-0.017126436999999998,809.44,LSL RunningTrial 0_A1_CI_NSI_R180x
0.002242484,-0.0002675743,0.0025100583,-0.03374627,-0.003137797,-0.030608473,-0.01466134,0.0003976888,-0.0150590288,-0.01770724,-0.001848827,-0.015858413,-0.03875332,0.003909599,-0.042662919,0.007496231,-0.005368015,0.012864246,-0.0172808,-0.001963123,-0.015317676999999998,809.48,LSL RunningTrial 0_A1_CI_NSI_R180x
0.003061881,-0.0003823513,0.0034442323,-0.02764594,-0.002459086,-0.025186854,-0.01141756,0.0003455373,-0.0117630973,-0.02126981,-0.00214652,-0.01912329,-0.03405638,0.003832834,-0.037889214,0.002478586,-0.004798695,0.007277281,-0.01546392,-0.001942703,-0.013521217,809.52,LSL RunningTrial 0_A1_CI_NSI_R180x
0.003869865,-0.0004977419,0.0043676069,-0.02178879,-0.001806153,-0.019982636999999998,-0.008302022,0.0003063412,-0.0086083632,-0.02453106,-0.002427222,-0.022103838,-0.0294834,0.003756821,-0.033240221,-0.002321413,-0.004236859,0.001915446,-0.0136766,-0.001906466,-0.011770134,809.56,LSL RunningTrial 0_A1_CI_NSI_R180x
0.004650288,-0.0006113163,0.0052616043,-0.0162674,-0.001194194,-0.015073206000000002,-0.005385243,0.0002795224,-0.0056647654,-0.02742189,-0.002688106,-0.024733784,-0.02512673,0.003682558,-0.028809288,-0.006801805,-0.003694973,-0.0031068320000000003,-0.01195328,-0.001858538,-0.010094742,809.6,LSL RunningTrial 0_A1_CI_NSI_R180x
